"location","reference_date","horizon","target_end_date","target","output_type","output_type_id","value"
"01",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,22.3646891131981
"02",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,0
"04",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,256.969812635491
"05",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,9.88644696621694
"06",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,201.640609694065
"08",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,53.6897225171346
"09",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,18.9812023021173
"10",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,14.7183658881988
"12",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,89.70972300933
"13",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,6.11027746141389
"15",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,6.20327649774546
"16",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,4.86488256747939
"17",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,163.500810659802
"18",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,63.1094802225682
"19",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,26.1571218095183
"20",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,10.6434169851233
"21",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,31.5043716472664
"22",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,15.5765373128763
"24",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,17.8449357584587
"27",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,69.9353762897763
"28",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,19.2138917999402
"29",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,62.4170986896746
"30",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,26.996777281689
"31",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,13.4565274899617
"32",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,10.4733620806749
"33",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,22.4831100746119
"34",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,107.722831469931
"36",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,131.571550160246
"37",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,46.6454426246383
"38",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,3.00980381268991
"39",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,186.668080948479
"40",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,25.4033414809969
"41",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,21.0548581846594
"44",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,6.07704667055482
"45",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,15.6992763225329
"47",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,59.6796149241598
"48",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,42.1017805025763
"49",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,13.315678482281
"50",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,1.9678799625041
"51",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,26.2634731406512
"53",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,23.4663648141542
"54",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,20.2144475924582
"72",2024-11-23,0,2024-11-23,"wk inc covid hosp","quantile",0.01,0
"01",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,21.8818051237488
"02",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,0
"04",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,252.535989788808
"05",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,9.53584429884509
"06",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,176.67541896947
"08",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,52.1278164173366
"09",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,16.4263489431718
"10",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,14.630063791407
"12",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,88.7305977943546
"13",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,4.06271441900688
"15",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,6.14460395503875
"16",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,4.50958265370869
"17",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,158.794244617406
"18",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,61.6797509770897
"19",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,24.5005241860368
"20",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,10.290982585693
"21",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,28.1830684106901
"22",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,15.0603604447784
"24",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,17.1297290305035
"27",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,65.2255542957515
"28",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,18.7214011749118
"29",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,61.9840841105344
"30",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,22.8099464571269
"31",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,12.2086966713392
"32",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,8.8509523961525
"33",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,20.2343080843686
"34",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,102.842942225947
"36",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,125.729577364121
"37",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,40.7239855289019
"38",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,2.97675088769592
"39",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,170.479764771129
"40",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,25.1942460228941
"41",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,18.6865592195648
"44",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,5.4778080842018
"45",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,13.1019333762164
"47",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,58.3636588933731
"48",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,41.2136216389899
"49",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,12.8580911586298
"50",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,1.70188656684174
"51",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,21.9243315163396
"53",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,22.6272719265579
"54",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,18.4866025276914
"72",2024-11-23,1,2024-11-30,"wk inc covid hosp","quantile",0.01,0
"01",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,20.2702590089253
"02",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,0
"04",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,242.905391550835
"05",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,8.93455850301438
"06",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,162.936348992478
"08",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,49.4691818106005
"09",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,15.6495497386864
"10",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,14.2510352041768
"12",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,85.8559191372808
"13",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,1.6998176852524
"15",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,5.62420793795237
"16",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,4.15338489546498
"17",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,155.055655040084
"18",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,53.8745094011041
"19",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,23.038522067159
"20",2024-11-23,2,2024-12-07,"wk inc covid hosp","quantile",0.01,9.35356136997527
