location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Alabama,AL,0,2024-12-14,2024-12-14,CEPH-Rtrend_covid,69,85,96,107,131,69,85,96,107,131,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Alabama,AL,1,2024-12-14,2024-12-21,CEPH-Rtrend_covid,55,81,100,123,176,55,81,100,123,176,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Alabama,AL,2,2024-12-14,2024-12-28,CEPH-Rtrend_covid,43,76,104,141,236,43,76,104,141,236,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Alaska,AK,0,2024-12-14,2024-12-14,CEPH-Rtrend_covid,8,11,13,15,19,8,11,13,15,19,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Alaska,AK,1,2024-12-14,2024-12-21,CEPH-Rtrend_covid,7,11,14,19,29,7,11,14,19,29,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Alaska,AK,2,2024-12-14,2024-12-28,CEPH-Rtrend_covid,5,11,16,23,42,5,11,16,23,42,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Arizona,AZ,0,2024-12-14,2024-12-14,CEPH-Rtrend_covid,695,776,824,876,972,695,776,824,876,972,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Arizona,AZ,1,2024-12-14,2024-12-21,CEPH-Rtrend_covid,601,732,816,911,1096,601,732,816,911,1096,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Arizona,AZ,2,2024-12-14,2024-12-28,CEPH-Rtrend_covid,509,675,789,921,1192,509,675,789,921,1192,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Arkansas,AR,0,2024-12-14,2024-12-14,CEPH-Rtrend_covid,33,44,52,61,81,33,44,52,61,81,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
Arkansas,AR,1,2024-12-14,2024-12-21,CEPH-Rtrend_covid,22,38,51,68,109,22,38,51,68,109,CEPH Lab at Indiana University,2024-12-11,Rtrend COVID
