"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.01",52.6842905047141
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.025",58.6087004131724
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.05",62.7983697519452
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.1",68.8598807421899
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.15",72.9636951728842
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.2",75.3733363340499
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.25",78.3529625281301
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.3",80.0023317891808
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.35",81.454187518339
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.4",82.8618898497204
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.45",83.9668045591216
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.5",86.0799588310066
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.55",88.9185094004144
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.6",90.9243311354476
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.65",93.4143546984697
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.7",95.9699610108568
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.75",99.1060281181698
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.8",102.672283365676
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.85",106.741549495657
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.9",113.454983881585
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.95",125.136892041671
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.975",132.709931845493
2024-12-14,"01",-1,"wk inc covid hosp",2024-12-07,"quantile","0.99",140.906346501981
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.01",43.0476022752452
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.025",52.0121901594404
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.05",58.5048309014681
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.1",64.43
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.15",69
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.2",76.2604754215974
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.25",81.0287088877074
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.3",85.624026738989
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.35",88.8120700005749
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.4",91.2271512278455
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.45",93.4368660989137
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.5",97.1865701906613
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.55",98.4764057532549
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.6",105.959388091567
2024-12-14,"01",0,"wk inc covid hosp",2024-12-14,"quantile","0.65",110.418470758556
