location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Alabama,AL,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,74,97,113,131,170,74,97,113,131,170,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Alabama,AL,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,70,105,130,161,231,70,105,130,161,231,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Alabama,AL,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,67,111,146,192,302,67,111,146,192,302,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Connecticut,CT,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,41,71,94,123,197,41,71,94,123,197,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Connecticut,CT,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,28,63,94,139,272,28,63,94,139,272,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Connecticut,CT,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,20,55,93,155,367,20,55,93,155,367,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Hawaii,HI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,11,16,20,26,38,11,16,20,26,38,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Hawaii,HI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,9,17,24,33,59,9,17,24,33,59,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Hawaii,HI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,8,18,28,42,85,8,18,28,42,85,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Idaho,ID,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,9,16,22,29,46,9,16,22,29,46,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Idaho,ID,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,6,14,22,33,66,6,14,22,33,66,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Idaho,ID,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,4,13,22,38,88,4,13,22,38,88,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
New Mexico,NM,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,47,65,77,91,121,47,65,77,91,121,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
New Mexico,NM,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,43,67,86,109,163,43,67,86,109,163,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
New Mexico,NM,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,39,68,93,124,202,39,68,93,124,202,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
North Dakota,ND,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,3,7,10,15,28,3,7,10,15,28,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
North Dakota,ND,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,2,6,10,17,42,2,6,10,17,42,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
North Dakota,ND,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,1,4,9,19,58,1,4,9,19,58,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Oregon,OR,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,29,47,61,78,121,29,47,61,78,121,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Oregon,OR,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,21,43,63,92,171,21,43,63,92,171,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Oregon,OR,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,16,40,65,105,233,16,40,65,105,233,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Rhode Island,RI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,14,22,29,37,58,14,22,29,37,58,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Rhode Island,RI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,11,23,33,47,89,11,23,33,47,89,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
Rhode Island,RI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,9,23,37,59,129,9,23,37,59,129,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
South Carolina,SC,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,39,61,78,99,149,39,61,78,99,149,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
South Carolina,SC,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,29,57,80,113,200,29,57,80,113,200,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
South Carolina,SC,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,22,52,82,125,258,22,52,82,125,258,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
South Dakota,SD,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,20,27,32,38,51,20,27,32,38,51,CEPH Lab at Indiana University,2024-11-20,Rtrend COVID
