week_ending_date,location,location_name,value
2024-11-09,02,Alaska,13
2024-11-16,02,Alaska,10
2024-11-23,02,Alaska,8
2024-11-30,02,Alaska,5
2024-11-09,01,Alabama,112
2024-11-16,01,Alabama,81
2024-11-23,01,Alabama,71
2024-11-30,01,Alabama,91
2024-11-09,05,Arkansas,59
2024-11-16,05,Arkansas,41
2024-11-23,05,Arkansas,52
2024-11-30,05,Arkansas,49
2024-11-09,04,Arizona,505
2024-11-16,04,Arizona,666
2024-11-23,04,Arizona,778
2024-11-30,04,Arizona,743
2024-11-09,06,California,609
2024-11-16,06,California,650
2024-11-23,06,California,632
2024-11-30,06,California,670
2024-11-09,08,Colorado,143
2024-11-16,08,Colorado,162
2024-11-23,08,Colorado,132
2024-11-30,08,Colorado,144
2024-11-09,09,Connecticut,79
2024-11-16,09,Connecticut,68
2024-11-23,09,Connecticut,79
2024-11-30,09,Connecticut,68
2024-11-09,11,District of Columbia,8
2024-11-16,11,District of Columbia,17
2024-11-23,11,District of Columbia,24
2024-11-30,11,District of Columbia,10
2024-11-09,10,Delaware,19
2024-11-16,10,Delaware,18
2024-11-23,10,Delaware,20
2024-11-30,10,Delaware,26
2024-11-09,12,Florida,401
2024-11-16,12,Florida,318
2024-11-23,12,Florida,253
2024-11-30,12,Florida,218
2024-11-09,13,Georgia,86
2024-11-16,13,Georgia,79
2024-11-23,13,Georgia,76
2024-11-30,13,Georgia,82
2024-11-09,15,Hawaii,22
2024-11-16,15,Hawaii,20
2024-11-23,15,Hawaii,13
2024-11-30,15,Hawaii,10
2024-11-09,19,Iowa,48
2024-11-16,19,Iowa,40
2024-11-23,19,Iowa,52
2024-11-30,19,Iowa,49
2024-11-09,16,Idaho,33
2024-11-16,16,Idaho,22
2024-11-23,16,Idaho,21
2024-11-30,16,Idaho,13
2024-11-09,17,Illinois,225
2024-11-16,17,Illinois,198
2024-11-23,17,Illinois,247
2024-11-30,17,Illinois,265
2024-11-09,18,Indiana,181
2024-11-16,18,Indiana,143
2024-11-23,18,Indiana,166
2024-11-30,18,Indiana,152
2024-11-09,20,Kansas,61
2024-11-16,20,Kansas,45
2024-11-23,20,Kansas,56
2024-11-30,20,Kansas,44
2024-11-09,21,Kentucky,124
2024-11-16,21,Kentucky,94
2024-11-23,21,Kentucky,95
2024-11-30,21,Kentucky,84
2024-11-09,22,Louisiana,76
2024-11-16,22,Louisiana,66
2024-11-23,22,Louisiana,69
2024-11-30,22,Louisiana,64
2024-11-09,25,Massachusetts,217
2024-11-16,25,Massachusetts,295
2024-11-23,25,Massachusetts,368
2024-11-30,25,Massachusetts,368
2024-11-09,24,Maryland,99
2024-11-16,24,Maryland,66
2024-11-23,24,Maryland,86
2024-11-30,24,Maryland,74
2024-11-09,23,Maine,35
2024-11-16,23,Maine,25
2024-11-23,23,Maine,21
2024-11-30,23,Maine,25
2024-11-09,26,Michigan,546
2024-11-16,26,Michigan,600
2024-11-23,26,Michigan,432
2024-11-30,26,Michigan,482
2024-11-09,27,Minnesota,202
2024-11-16,27,Minnesota,189
2024-11-23,27,Minnesota,225
2024-11-30,27,Minnesota,183
2024-11-09,29,Missouri,150
2024-11-16,29,Missouri,143
2024-11-23,29,Missouri,175
2024-11-30,29,Missouri,161
2024-11-09,28,Mississippi,37
2024-11-16,28,Mississippi,37
2024-11-23,28,Mississippi,50
2024-11-30,28,Mississippi,33
2024-11-09,30,Montana,18
2024-11-16,30,Montana,22
2024-11-23,30,Montana,25
2024-11-30,30,Montana,16
2024-11-09,37,North Carolina,192
2024-11-16,37,North Carolina,177
2024-11-23,37,North Carolina,157
2024-11-30,37,North Carolina,145
2024-11-09,38,North Dakota,14
2024-11-16,38,North Dakota,11
2024-11-23,38,North Dakota,19
2024-11-30,38,North Dakota,19
2024-11-09,31,Nebraska,32
2024-11-16,31,Nebraska,37
2024-11-23,31,Nebraska,36
2024-11-30,31,Nebraska,41
2024-11-09,33,New Hampshire,55
2024-11-16,33,New Hampshire,58
2024-11-23,33,New Hampshire,20
2024-11-30,33,New Hampshire,44
