location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_fullnames
Alabama,AL,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,74,97,113,131,170,74,97,113,131,170,CEPH Lab at Indiana University,Rtrend COVID
Alabama,AL,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,70,105,130,161,231,70,105,130,161,231,CEPH Lab at Indiana University,Rtrend COVID
Alabama,AL,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,67,111,146,192,302,67,111,146,192,302,CEPH Lab at Indiana University,Rtrend COVID
Alabama,AL,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,62,115,161,221,376,62,115,161,221,376,CEPH Lab at Indiana University,Rtrend COVID
Alaska,AK,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,7,10,13,16,22,7,10,13,16,22,CEPH Lab at Indiana University,Rtrend COVID
Alaska,AK,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,6,10,14,18,30,6,10,14,18,30,CEPH Lab at Indiana University,Rtrend COVID
Alaska,AK,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,4,9,14,21,38,4,9,14,21,38,CEPH Lab at Indiana University,Rtrend COVID
Alaska,AK,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,4,9,14,23,47,4,9,14,23,47,CEPH Lab at Indiana University,Rtrend COVID
Arizona,AZ,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,323,429,504,586,762,323,429,504,586,762,CEPH Lab at Indiana University,Rtrend COVID
Arizona,AZ,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,259,387,486,605,876,259,387,486,605,876,CEPH Lab at Indiana University,Rtrend COVID
Arizona,AZ,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,204,344,461,608,970,204,344,461,608,970,CEPH Lab at Indiana University,Rtrend COVID
Arizona,AZ,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,161,302,429,596,1018,161,302,429,596,1018,CEPH Lab at Indiana University,Rtrend COVID
Arkansas,AR,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,34,53,67,84,126,34,53,67,84,126,CEPH Lab at Indiana University,Rtrend COVID
Arkansas,AR,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,29,54,76,105,181,29,54,76,105,181,CEPH Lab at Indiana University,Rtrend COVID
Arkansas,AR,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,24,54,83,125,242,24,54,83,125,242,CEPH Lab at Indiana University,Rtrend COVID
Arkansas,AR,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,20,53,88,142,292,20,53,88,142,292,CEPH Lab at Indiana University,Rtrend COVID
California,CA,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,222,362,469,604,935,222,362,469,604,935,CEPH Lab at Indiana University,Rtrend COVID
California,CA,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,144,293,425,614,1158,144,293,425,614,1158,CEPH Lab at Indiana University,Rtrend COVID
California,CA,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,91,234,386,616,1386,91,234,386,616,1386,CEPH Lab at Indiana University,Rtrend COVID
California,CA,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,57,189,347,618,1624,57,189,347,618,1624,CEPH Lab at Indiana University,Rtrend COVID
Colorado,CO,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,78,109,132,158,214,78,109,132,158,214,CEPH Lab at Indiana University,Rtrend COVID
Colorado,CO,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,66,108,141,182,281,66,108,141,182,281,CEPH Lab at Indiana University,Rtrend COVID
Colorado,CO,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,56,105,148,205,351,56,105,148,205,351,CEPH Lab at Indiana University,Rtrend COVID
Colorado,CO,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,47,101,152,222,414,47,101,152,222,414,CEPH Lab at Indiana University,Rtrend COVID
Connecticut,CT,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,41,71,94,123,197,41,71,94,123,197,CEPH Lab at Indiana University,Rtrend COVID
Connecticut,CT,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,28,63,94,139,272,28,63,94,139,272,CEPH Lab at Indiana University,Rtrend COVID
Connecticut,CT,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,20,55,93,155,367,20,55,93,155,367,CEPH Lab at Indiana University,Rtrend COVID
Connecticut,CT,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,13,48,92,171,478,13,48,92,171,478,CEPH Lab at Indiana University,Rtrend COVID
Delaware,DE,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,7,14,20,29,53,7,14,20,29,53,CEPH Lab at Indiana University,Rtrend COVID
Delaware,DE,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,5,13,23,38,87,5,13,23,38,87,CEPH Lab at Indiana University,Rtrend COVID
Delaware,DE,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,3,13,25,48,126,3,13,25,48,126,CEPH Lab at Indiana University,Rtrend COVID
Delaware,DE,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,2,12,27,56,154,2,12,27,56,154,CEPH Lab at Indiana University,Rtrend COVID
District of Columbia,DC,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,3,6,7,10,17,3,6,7,10,17,CEPH Lab at Indiana University,Rtrend COVID
District of Columbia,DC,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,2,5,8,12,23,2,5,8,12,23,CEPH Lab at Indiana University,Rtrend COVID
District of Columbia,DC,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,1,5,9,15,31,1,5,9,15,31,CEPH Lab at Indiana University,Rtrend COVID
District of Columbia,DC,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,1,5,10,17,47,1,5,10,17,47,CEPH Lab at Indiana University,Rtrend COVID
Florida,FL,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,214,320,402,497,721,214,320,402,497,721,CEPH Lab at Indiana University,Rtrend COVID
Florida,FL,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,190,340,469,638,1077,190,340,469,638,1077,CEPH Lab at Indiana University,Rtrend COVID
Florida,FL,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,167,357,541,798,1526,167,357,541,798,1526,CEPH Lab at Indiana University,Rtrend COVID
Florida,FL,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,148,369,601,958,2002,148,369,601,958,2002,CEPH Lab at Indiana University,Rtrend COVID
Georgia,GA,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,22,53,83,127,260,22,53,83,127,260,CEPH Lab at Indiana University,Rtrend COVID
Georgia,GA,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,12,46,87,160,427,12,46,87,160,427,CEPH Lab at Indiana University,Rtrend COVID
Georgia,GA,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,7,39,90,195,638,7,39,90,195,638,CEPH Lab at Indiana University,Rtrend COVID
Georgia,GA,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,4,33,92,226,836,4,33,92,226,836,CEPH Lab at Indiana University,Rtrend COVID
Hawaii,HI,0,2024-11-23,2024-11-23,CEPH-Rtrend_covid,11,16,20,26,38,11,16,20,26,38,CEPH Lab at Indiana University,Rtrend COVID
Hawaii,HI,1,2024-11-23,2024-11-30,CEPH-Rtrend_covid,9,17,24,33,59,9,17,24,33,59,CEPH Lab at Indiana University,Rtrend COVID
Hawaii,HI,2,2024-11-23,2024-12-07,CEPH-Rtrend_covid,8,18,28,42,85,8,18,28,42,85,CEPH Lab at Indiana University,Rtrend COVID
Hawaii,HI,3,2024-11-23,2024-12-14,CEPH-Rtrend_covid,7,19,31,51,114,7,19,31,51,114,CEPH Lab at Indiana University,Rtrend COVID
