location_name,abbreviation,horizon,forecast_date,target_end_date,model_id,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded
West Virginia,WV,0,2024-11-23,2024-11-23,UMass-ar6_pooled,45.6490348077359,63.5424414184735,74.7652561684603,86.628109137929,114.310263238877,46,64,75,87,114
Alabama,AL,1,2024-11-23,2024-11-30,UMass-ar6_pooled,54.0522615655714,87.5643169003195,111.854962083607,140.222115497458,204.506950774706,54,88,112,140,205
Connecticut,CT,1,2024-11-23,2024-11-30,UMass-ar6_pooled,10.7918094799761,44.1327932311791,70.3804853699034,104.172126284312,198.629829367686,11,44,70,104,199
Hawaii,HI,1,2024-11-23,2024-11-30,UMass-ar6_pooled,9.03856145939842,21.6364277474503,30.4855173172471,41.1821598186418,65.5316031274704,9,22,30,41,66
Idaho,ID,1,2024-11-23,2024-11-30,UMass-ar6_pooled,10.1121283562879,21.6086068407866,29.4509245302985,39.3596687119252,60.4604537169551,10,22,29,39,60
North Dakota,ND,1,2024-11-23,2024-11-30,UMass-ar6_pooled,2.67137059679683,9.06657968884831,13.7617209160553,20.0762114284264,35.6431809931974,3,9,14,20,36
Oregon,OR,1,2024-11-23,2024-11-30,UMass-ar6_pooled,43.2895958377239,65.9847814371292,81.8987826951725,98.2993420788338,137.741249857573,43,66,82,98,138
Rhode Island,RI,1,2024-11-23,2024-11-30,UMass-ar6_pooled,5.06932291744327,16.4531080854492,25.18743113084,37.1576022428498,69.6511337512846,5,16,25,37,70
South Carolina,SC,1,2024-11-23,2024-11-30,UMass-ar6_pooled,37.4249317672543,66.0541176056843,87.0753368881279,108.741074211925,158.927944578223,37,66,87,109,159
Tennessee,TN,1,2024-11-23,2024-11-30,UMass-ar6_pooled,85.7024866287792,152.63492976731,197.025801798903,243.80506506979,367.740679163696,86,153,197,244,368
Vermont,VT,1,2024-11-23,2024-11-30,UMass-ar6_pooled,1.29572233349489,6.44889360287156,10.8692723473489,16.6307056029234,31.0564900820106,1,6,11,17,31
West Virginia,WV,1,2024-11-23,2024-11-30,UMass-ar6_pooled,44.0723526282066,68.6667029998301,85.7190455896425,104.883814351036,154.554215191349,44,69,86,105,155
Alabama,AL,2,2024-11-23,2024-12-07,UMass-ar6_pooled,47.3064431633555,92.9022444943948,123.190730429088,162.251212737922,251.71911934539,47,93,123,162,252
Connecticut,CT,2,2024-11-23,2024-12-07,UMass-ar6_pooled,4.66284171703675,40.174835447769,73.3950323559953,120.256530389522,265.245649702852,5,40,73,120,265
Hawaii,HI,2,2024-11-23,2024-12-07,UMass-ar6_pooled,7.15646393500008,23.366937521203,35.482238663488,50.9510328027237,91.8579439452393,7,23,35,51,92
Idaho,ID,2,2024-11-23,2024-12-07,UMass-ar6_pooled,7.93127093769868,20.9792374174073,31.4346277091098,44.9301956227443,76.4967476220324,8,21,31,45,76
North Dakota,ND,2,2024-11-23,2024-12-07,UMass-ar6_pooled,1.62436449402866,8.59074050765566,15.2742672920956,23.8124733668618,48.0446793619488,2,9,15,24,48
Oregon,OR,2,2024-11-23,2024-12-07,UMass-ar6_pooled,38.7977317634151,68.7847072233105,89.2491013224233,111.218348502952,165.720252572685,39,69,89,111,166
Rhode Island,RI,2,2024-11-23,2024-12-07,UMass-ar6_pooled,2.70882461285763,14.9948717478768,26.0350783587698,42.3699504918431,91.0478328719005,3,15,26,42,91
South Carolina,SC,2,2024-11-23,2024-12-07,UMass-ar6_pooled,28.8114229909706,67.5677892836064,95.2260600280443,124.14463494963,197.306347360546,29,68,95,124,197
Tennessee,TN,2,2024-11-23,2024-12-07,UMass-ar6_pooled,79.834971034557,158.801660287515,215.729661877834,284.00341384031,447.728022324299,80,159,216,284,448
Vermont,VT,2,2024-11-23,2024-12-07,UMass-ar6_pooled,0,5.7852407888448,11.0969666546884,19.0378680617927,43.0243670217403,0,6,11,19,43
West Virginia,WV,2,2024-11-23,2024-12-07,UMass-ar6_pooled,39.2795596914816,70.9556914171887,92.5727327498916,120.976852001486,191.575009916229,39,71,93,121,192
Alabama,AL,3,2024-11-23,2024-12-14,UMass-ar6_pooled,43.4290161728628,93.4090893361017,133.829565601065,183.564829382121,316.634549383918,43,93,134,184,317
Connecticut,CT,3,2024-11-23,2024-12-14,UMass-ar6_pooled,0.474266041651542,37.2374727224721,76.1181387136096,137.165904375668,354.555637068356,0,37,76,137,355
Hawaii,HI,3,2024-11-23,2024-12-14,UMass-ar6_pooled,5.83228468345295,24.6013731937653,40.3237557269671,61.4009374120443,116.26059109628,6,25,40,61,116
Idaho,ID,3,2024-11-23,2024-12-14,UMass-ar6_pooled,5.63344078781972,21.2421581842439,34.572123994748,50.6100238800876,93.3430457812182,6,21,35,51,93
North Dakota,ND,3,2024-11-23,2024-12-14,UMass-ar6_pooled,0.743330111215202,8.56180946669542,16.4447614052548,27.4039296259812,61.4096711365334,1,9,16,27,61
Oregon,OR,3,2024-11-23,2024-12-14,UMass-ar6_pooled,34.1138602068204,70.0076699295802,95.3175614587206,123.908073147231,195.195176904884,34,70,95,124,195
Rhode Island,RI,3,2024-11-23,2024-12-14,UMass-ar6_pooled,0.759910973302755,14.9657723218724,28.0464823244791,48.3356403036044,119.134268013337,1,15,28,48,119
South Carolina,SC,3,2024-11-23,2024-12-14,UMass-ar6_pooled,24.620669282464,69.2214367607265,101.875457028436,142.40935350796,238.457271554335,25,69,102,142,238
Tennessee,TN,3,2024-11-23,2024-12-14,UMass-ar6_pooled,67.5246465237312,161.704243009564,233.437922872493,320.986958060505,565.881912951809,68,162,233,321,566
Vermont,VT,3,2024-11-23,2024-12-14,UMass-ar6_pooled,0,5.19052216139675,11.5532371263916,21.8409589434256,52.5927896025805,0,5,12,22,53
West Virginia,WV,3,2024-11-23,2024-12-14,UMass-ar6_pooled,34.5325063321306,71.0472637511796,98.7363333160847,134.296190348705,222.361629910755,35,71,99,134,222
Alabama,AL,0,2024-11-23,2024-11-23,UMass-gbqr,42.667259294407,76.3909958483105,91.4909425223893,106.279557954383,164.06549694435,43,76,91,106,164
Connecticut,CT,0,2024-11-23,2024-11-23,UMass-gbqr,27.598223926981,59.5243613719912,93.8255720392992,124.938387270534,154.680659024007,28,60,94,125,155
Hawaii,HI,0,2024-11-23,2024-11-23,UMass-gbqr,8.98984948057922,17.6627405071595,24.6622034663345,30.1413877178367,46.7285319828787,9,18,25,30,47
Idaho,ID,0,2024-11-23,2024-11-23,UMass-gbqr,9.38636241585155,20.4663109788479,26.2571603571485,31.4451607435565,46.5260255329623,9,20,26,31,47
North Dakota,ND,0,2024-11-23,2024-11-23,UMass-gbqr,4.38279138087909,8.65178188954249,12.5942908630881,14.5293085153456,23.0609623502529,4,9,13,15,23
Oregon,OR,0,2024-11-23,2024-11-23,UMass-gbqr,33.7957585704148,60.4510568279414,79.4601670839146,86.1980532316946,117.898827525439,34,60,79,86,118
Rhode Island,RI,0,2024-11-23,2024-11-23,UMass-gbqr,8.68612205245074,16.2693665196848,23.7471142314832,29.2398908975522,39.5339189540869,9,16,24,29,40
South Carolina,SC,0,2024-11-23,2024-11-23,UMass-gbqr,24.8481044201424,61.0912356369844,79.3287732575769,105.735936985436,134.073637110422,25,61,79,106,134
Tennessee,TN,0,2024-11-23,2024-11-23,UMass-gbqr,81.1915580432229,137.303930884575,163.605238302267,196.438940589916,268.45969227211,81,137,164,196,268
Vermont,VT,0,2024-11-23,2024-11-23,UMass-gbqr,3.6089483491538,9.38519587152659,13.2346614184334,17.6598771772172,22.0999558888133,4,9,13,18,22
West Virginia,WV,0,2024-11-23,2024-11-23,UMass-gbqr,33.0235659175659,56.5898061544019,74.1323032644161,87.3599053493335,121.655857282275,33,57,74,87,122
Alabama,AL,1,2024-11-23,2024-11-30,UMass-gbqr,39.4598932239569,71.6501166881878,94.3544229383682,113.363131597714,167.312784783434,39,72,94,113,167
Connecticut,CT,1,2024-11-23,2024-11-30,UMass-gbqr,23.4172731694019,57.7520680705135,94.1143497320532,132.726364294786,159.331472620271,23,58,94,133,159
Hawaii,HI,1,2024-11-23,2024-11-30,UMass-gbqr,8.37526022239303,17.7766890802389,25.1229995487026,35.5304285958219,53.8074129231847,8,18,25,36,54
Idaho,ID,1,2024-11-23,2024-11-30,UMass-gbqr,7.82431148741829,20.4214150777281,26.9121052265933,35.1350269293493,48.2925939559496,8,20,27,35,48
North Dakota,ND,1,2024-11-23,2024-11-30,UMass-gbqr,3.97113199111873,8.83638927485758,12.7562042206897,14.8163916750854,24.8735363003494,4,9,13,15,25
Oregon,OR,1,2024-11-23,2024-11-30,UMass-gbqr,28.0960153897269,58.2903881882853,83.966864382601,96.8977710849014,126.833890399002,28,58,84,97,127
Rhode Island,RI,1,2024-11-23,2024-11-30,UMass-gbqr,8.03465789215517,16.0049963634966,25.2301888336771,31.099276922376,41.5734737563622,8,16,25,31,42
South Carolina,SC,1,2024-11-23,2024-11-30,UMass-gbqr,21.0611000067652,54.5525380306342,83.4631908349528,114.345415361936,143.371474242802,21,55,83,114,143
Tennessee,TN,1,2024-11-23,2024-11-30,UMass-gbqr,76.2563564637816,139.018632385935,175.80800551463,198.528651221182,282.730034324297,76,139,176,199,283
Vermont,VT,1,2024-11-23,2024-11-30,UMass-gbqr,3.20193499216158,9.40450266447167,13.8579396577641,18.360837438651,24.0973045614253,3,9,14,18,24
West Virginia,WV,1,2024-11-23,2024-11-30,UMass-gbqr,29.6534118936144,55.1205602294186,78.2197629818902,89.6427709129921,121.655857282275,30,55,78,90,122
Alabama,AL,2,2024-11-23,2024-12-07,UMass-gbqr,33.3790987427519,64.4092387913333,92.4663580754179,116.355960317851,170.620530630473,33,64,92,116,171
Connecticut,CT,2,2024-11-23,2024-12-07,UMass-gbqr,19.3384525270059,58.698813069597,97.30274894573,142.250364204872,164.117414326907,19,59,97,142,164
Hawaii,HI,2,2024-11-23,2024-12-07,UMass-gbqr,7.59028426411301,15.0813546571209,24.9785298313794,35.3654643958496,54.8743590831798,8,15,25,35,55
Idaho,ID,2,2024-11-23,2024-12-07,UMass-gbqr,7.57556610366332,17.7038113562705,26.6854002630956,35.6860236064628,52.4456326863815,8,18,27,36,52
North Dakota,ND,2,2024-11-23,2024-12-07,UMass-gbqr,3.8280524936979,8.38006130966218,12.3453421901243,14.72608034939,26.6693113135268,4,8,12,15,27
Oregon,OR,2,2024-11-23,2024-12-07,UMass-gbqr,22.8749340862463,54.8343676768259,82.2168979102561,98.2808778646917,142.264906005027,23,55,82,98,142
Rhode Island,RI,2,2024-11-23,2024-12-07,UMass-gbqr,7.17561657836707,16.1780483556496,24.7623168630577,30.5722898920311,43.9608512541045,7,16,25,31,44
South Carolina,SC,2,2024-11-23,2024-12-07,UMass-gbqr,15.4073920774131,52.2326132485686,80.5266145134837,113.800972563728,142.929401574146,15,52,81,114,143
Tennessee,TN,2,2024-11-23,2024-12-07,UMass-gbqr,66.2652618212754,122.403344237445,178.845822550698,214.057490887769,291.112112319737,66,122,179,214,291
Vermont,VT,2,2024-11-23,2024-12-07,UMass-gbqr,2.56771255696399,9.4688777584788,14.3085606059408,19.1613081442701,26.5549408168419,3,9,14,19,27
West Virginia,WV,2,2024-11-23,2024-12-07,UMass-gbqr,26.8421385378609,51.678468130492,78.1671973067139,91.5944812655935,128.899340336704,27,52,78,92,129
Alabama,AL,3,2024-11-23,2024-12-14,UMass-gbqr,32.2642844137722,61.5905322928116,91.5421373747806,118.836930056132,175.796997090809,32,62,92,119,176
Connecticut,CT,3,2024-11-23,2024-12-14,UMass-gbqr,19.7003963998035,58.4907258780767,94.4868314313987,145.807741374475,181.299416474536,20,58,94,146,181
Hawaii,HI,3,2024-11-23,2024-12-14,UMass-gbqr,6.81361030081233,14.905451222522,25.1143582603726,35.7515112830935,55.1934771216195,7,15,25,36,55
Idaho,ID,3,2024-11-23,2024-12-14,UMass-gbqr,6.30718817451965,16.634353944235,26.5644972351766,37.7592510355829,54.3033125205017,6,17,27,38,54
North Dakota,ND,3,2024-11-23,2024-12-14,UMass-gbqr,3.73380357364241,8.04126405577749,11.971312347962,15.096480267426,24.1115944818202,4,8,12,15,24
Oregon,OR,3,2024-11-23,2024-12-14,UMass-gbqr,22.3271242036822,53.2510282789988,81.8975822605506,100.958666173375,146.363309685208,22,53,82,101,146
Rhode Island,RI,3,2024-11-23,2024-12-14,UMass-gbqr,7.23703307225441,15.704826459981,24.6931549423537,32.1181948500995,43.2194836511306,7,16,25,32,43
South Carolina,SC,3,2024-11-23,2024-12-14,UMass-gbqr,13.7530730968718,52.0688834513178,77.62968196789,118.741143339473,146.180506492349,14,52,78,119,146
Tennessee,TN,3,2024-11-23,2024-12-14,UMass-gbqr,56.4056334662098,106.520967402802,177.760545882308,215.872187117015,299.767623266321,56,107,178,216,300
Vermont,VT,3,2024-11-23,2024-12-14,UMass-gbqr,2.57049399617239,8.6629148552593,13.8016515605709,19.2625738363115,28.2797893063549,3,9,14,19,28
West Virginia,WV,3,2024-11-23,2024-12-14,UMass-gbqr,26.2180354349264,47.3692288668822,78.9153056593066,90.0766820412278,136.062213164358,26,47,79,90,136
