week_ending_date,location,location_name,value
2020-08-08,02,Alaska,49
2020-08-15,02,Alaska,48
2020-08-22,02,Alaska,63
2020-08-29,02,Alaska,56
2020-09-05,02,Alaska,61
2020-09-12,02,Alaska,56
2020-09-19,02,Alaska,67
2020-09-26,02,Alaska,46
2020-10-03,02,Alaska,33
2020-10-10,02,Alaska,38
2020-10-17,02,Alaska,62
2020-10-24,02,Alaska,54
2020-10-31,02,Alaska,69
2020-11-07,02,Alaska,91
2020-11-14,02,Alaska,121
2020-11-21,02,Alaska,121
2020-11-28,02,Alaska,154
2020-12-05,02,Alaska,134
2020-12-12,02,Alaska,102
2020-12-19,02,Alaska,100
2020-12-26,02,Alaska,60
2021-01-02,02,Alaska,69
2021-01-09,02,Alaska,76
2021-01-16,02,Alaska,54
2021-01-23,02,Alaska,35
2021-01-30,02,Alaska,29
2021-02-06,02,Alaska,25
2021-02-13,02,Alaska,26
2021-02-20,02,Alaska,37
2021-02-27,02,Alaska,33
2021-03-06,02,Alaska,30
2021-03-13,02,Alaska,31
2021-03-20,02,Alaska,42
2021-03-27,02,Alaska,33
2021-04-03,02,Alaska,45
2021-04-10,02,Alaska,43
2021-04-17,02,Alaska,33
2021-04-24,02,Alaska,50
2021-05-01,02,Alaska,48
2021-05-08,02,Alaska,33
2021-05-15,02,Alaska,31
2021-05-22,02,Alaska,16
2021-05-29,02,Alaska,16
2021-06-05,02,Alaska,25
2021-06-12,02,Alaska,17
2021-06-19,02,Alaska,9
2021-06-26,02,Alaska,13
2021-07-03,02,Alaska,18
2021-07-10,02,Alaska,36
2021-07-17,02,Alaska,46
2021-07-24,02,Alaska,76
2021-07-31,02,Alaska,91
2021-08-07,02,Alaska,85
2021-08-14,02,Alaska,123
2021-08-21,02,Alaska,122
2021-08-28,02,Alaska,131
2021-09-04,02,Alaska,154
2021-09-11,02,Alaska,199
2021-09-18,02,Alaska,192
2021-09-25,02,Alaska,182
2021-10-02,02,Alaska,156
2021-10-09,02,Alaska,147
2021-10-16,02,Alaska,188
2021-10-23,02,Alaska,183
2021-10-30,02,Alaska,174
2021-11-06,02,Alaska,120
2021-11-13,02,Alaska,142
2021-11-20,02,Alaska,92
2021-11-27,02,Alaska,80
2021-12-04,02,Alaska,62
2021-12-11,02,Alaska,60
2021-12-18,02,Alaska,58
2021-12-25,02,Alaska,45
2022-01-01,02,Alaska,51
2022-01-08,02,Alaska,88
2022-01-15,02,Alaska,117
2022-01-22,02,Alaska,149
2022-01-29,02,Alaska,162
2022-02-05,02,Alaska,116
2022-02-12,02,Alaska,102
2022-02-19,02,Alaska,87
2022-02-26,02,Alaska,61
2022-03-05,02,Alaska,51
2022-03-12,02,Alaska,38
2022-03-19,02,Alaska,33
2022-03-26,02,Alaska,42
2022-04-02,02,Alaska,40
2022-04-09,02,Alaska,36
2022-04-16,02,Alaska,28
2022-04-23,02,Alaska,32
2022-04-30,02,Alaska,44
2022-05-07,02,Alaska,45
2022-05-14,02,Alaska,50
2022-05-21,02,Alaska,43
2022-05-28,02,Alaska,67
2022-06-04,02,Alaska,63
2022-06-11,02,Alaska,71
2022-06-18,02,Alaska,68
2022-06-25,02,Alaska,99
2022-07-02,02,Alaska,101
2022-07-09,02,Alaska,94
2022-07-16,02,Alaska,102
2022-07-23,02,Alaska,109
2022-07-30,02,Alaska,131
2022-08-06,02,Alaska,108
2022-08-13,02,Alaska,109
2022-08-20,02,Alaska,88
2022-08-27,02,Alaska,91
2022-09-03,02,Alaska,75
2022-09-10,02,Alaska,69
2022-09-17,02,Alaska,53
2022-09-24,02,Alaska,40
2022-10-01,02,Alaska,44
2022-10-08,02,Alaska,32
2022-10-15,02,Alaska,40
2022-10-22,02,Alaska,39
2022-10-29,02,Alaska,31
2022-11-05,02,Alaska,25
2022-11-12,02,Alaska,35
2022-11-19,02,Alaska,28
2022-11-26,02,Alaska,42
2022-12-03,02,Alaska,44
2022-12-10,02,Alaska,50
2022-12-17,02,Alaska,45
2022-12-24,02,Alaska,25
2022-12-31,02,Alaska,32
2023-01-07,02,Alaska,39
2023-01-14,02,Alaska,36
2023-01-21,02,Alaska,47
2023-01-28,02,Alaska,49
2023-02-04,02,Alaska,42
2023-02-11,02,Alaska,44
2023-02-18,02,Alaska,40
2023-02-25,02,Alaska,34
2023-03-04,02,Alaska,50
2023-03-11,02,Alaska,29
2023-03-18,02,Alaska,42
2023-03-25,02,Alaska,40
2023-04-01,02,Alaska,36
2023-04-08,02,Alaska,34
2023-04-15,02,Alaska,26
2023-04-22,02,Alaska,22
2023-04-29,02,Alaska,24
2023-05-06,02,Alaska,29
2023-05-13,02,Alaska,29
2023-05-20,02,Alaska,10
2023-05-27,02,Alaska,22
2023-06-03,02,Alaska,19
2023-06-10,02,Alaska,32
2023-06-17,02,Alaska,23
2023-06-24,02,Alaska,25
2023-07-01,02,Alaska,23
2023-07-08,02,Alaska,25
2023-07-15,02,Alaska,26
2023-07-22,02,Alaska,21
2023-07-29,02,Alaska,25
2023-08-05,02,Alaska,19
2023-08-12,02,Alaska,33
2023-08-19,02,Alaska,20
2023-08-26,02,Alaska,22
2023-09-02,02,Alaska,34
2023-09-09,02,Alaska,35
2023-09-16,02,Alaska,38
2023-09-23,02,Alaska,24
2023-09-30,02,Alaska,21
2023-10-07,02,Alaska,25
2023-10-14,02,Alaska,30
2023-10-21,02,Alaska,16
2023-10-28,02,Alaska,16
2023-11-04,02,Alaska,20
2023-11-11,02,Alaska,32
2023-11-18,02,Alaska,19
2023-11-25,02,Alaska,15
2023-12-02,02,Alaska,23
2023-12-09,02,Alaska,19
2023-12-16,02,Alaska,23
2023-12-23,02,Alaska,21
2023-12-30,02,Alaska,34
2024-01-06,02,Alaska,36
2024-01-13,02,Alaska,42
2024-01-20,02,Alaska,44
2024-01-27,02,Alaska,40
2024-02-03,02,Alaska,57
2024-02-10,02,Alaska,52
2024-02-17,02,Alaska,39
2024-02-24,02,Alaska,28
2024-03-02,02,Alaska,22
2024-03-09,02,Alaska,33
2024-03-16,02,Alaska,18
2024-03-23,02,Alaska,12
2024-03-30,02,Alaska,6
2024-04-06,02,Alaska,6
2024-04-13,02,Alaska,7
2024-04-20,02,Alaska,2
2024-04-27,02,Alaska,8
2024-05-04,02,Alaska,2
2024-05-11,02,Alaska,4
2024-05-18,02,Alaska,5
2024-05-25,02,Alaska,5
2024-06-01,02,Alaska,9
2024-06-08,02,Alaska,11
2024-06-15,02,Alaska,15
2024-06-22,02,Alaska,15
2024-06-29,02,Alaska,7
2024-07-06,02,Alaska,5
2024-07-13,02,Alaska,13
2024-07-20,02,Alaska,14
2024-07-27,02,Alaska,22
2024-08-03,02,Alaska,18
2024-08-10,02,Alaska,17
2024-08-17,02,Alaska,14
2024-08-24,02,Alaska,22
2024-08-31,02,Alaska,14
2024-09-07,02,Alaska,13
2024-09-14,02,Alaska,18
2024-09-21,02,Alaska,5
2024-09-28,02,Alaska,9
2024-10-05,02,Alaska,3
2024-10-12,02,Alaska,5
2024-10-19,02,Alaska,5
2024-10-26,02,Alaska,6
2024-11-02,02,Alaska,9
2024-11-09,02,Alaska,13
2024-11-16,02,Alaska,10
2024-11-23,02,Alaska,7
2020-08-08,01,Alabama,1767
2020-08-15,01,Alabama,1803
2020-08-22,01,Alabama,1930
2020-08-29,01,Alabama,1719
2020-09-05,01,Alabama,1248
2020-09-12,01,Alabama,1092
2020-09-19,01,Alabama,896
2020-09-26,01,Alabama,941
2020-10-03,01,Alabama,967
2020-10-10,01,Alabama,950
2020-10-17,01,Alabama,1005
2020-10-24,01,Alabama,1178
2020-10-31,01,Alabama,1317
2020-11-07,01,Alabama,1285
2020-11-14,01,Alabama,1519
2020-11-21,01,Alabama,1623
2020-11-28,01,Alabama,1806
2020-12-05,01,Alabama,2313
2020-12-12,01,Alabama,2557
2020-12-19,01,Alabama,2957
2020-12-26,01,Alabama,3075
2021-01-02,01,Alabama,3238
2021-01-09,01,Alabama,3462
2021-01-16,01,Alabama,3105
2021-01-23,01,Alabama,2577
2021-01-30,01,Alabama,2076
2021-02-06,01,Alabama,1746
2021-02-13,01,Alabama,1383
2021-02-20,01,Alabama,1080
2021-02-27,01,Alabama,828
2021-03-06,01,Alabama,657
2021-03-13,01,Alabama,553
2021-03-20,01,Alabama,598
2021-03-27,01,Alabama,544
2021-04-03,01,Alabama,464
2021-04-10,01,Alabama,436
2021-04-17,01,Alabama,417
2021-04-24,01,Alabama,504
2021-05-01,01,Alabama,451
2021-05-08,01,Alabama,516
2021-05-15,01,Alabama,545
2021-05-22,01,Alabama,405
2021-05-29,01,Alabama,381
2021-06-05,01,Alabama,301
2021-06-12,01,Alabama,251
2021-06-19,01,Alabama,211
2021-06-26,01,Alabama,221
2021-07-03,01,Alabama,514
2021-07-10,01,Alabama,353
2021-07-17,01,Alabama,564
2021-07-24,01,Alabama,1163
2021-07-31,01,Alabama,1932
2021-08-07,01,Alabama,2219
2021-08-14,01,Alabama,2803
2021-08-21,01,Alabama,2830
2021-08-28,01,Alabama,2751
2021-09-04,01,Alabama,2905
2021-09-11,01,Alabama,2514
2021-09-18,01,Alabama,1999
2021-09-25,01,Alabama,1226
2021-10-02,01,Alabama,924
2021-10-09,01,Alabama,807
2021-10-16,01,Alabama,640
2021-10-23,01,Alabama,487
2021-10-30,01,Alabama,439
2021-11-06,01,Alabama,325
2021-11-13,01,Alabama,328
2021-11-20,01,Alabama,299
2021-11-27,01,Alabama,330
2021-12-04,01,Alabama,364
2021-12-11,01,Alabama,350
2021-12-18,01,Alabama,394
2021-12-25,01,Alabama,545
2022-01-01,01,Alabama,1143
2022-01-08,01,Alabama,2056
2022-01-15,01,Alabama,2712
2022-01-22,01,Alabama,3086
2022-01-29,01,Alabama,3373
2022-02-05,01,Alabama,2543
2022-02-12,01,Alabama,1723
2022-02-19,01,Alabama,1100
2022-02-26,01,Alabama,823
2022-03-05,01,Alabama,503
2022-03-12,01,Alabama,355
2022-03-19,01,Alabama,224
2022-03-26,01,Alabama,170
2022-04-02,01,Alabama,142
2022-04-09,01,Alabama,126
2022-04-16,01,Alabama,109
2022-04-23,01,Alabama,104
2022-04-30,01,Alabama,140
2022-05-07,01,Alabama,147
2022-05-14,01,Alabama,169
2022-05-21,01,Alabama,180
2022-05-28,01,Alabama,200
2022-06-04,01,Alabama,318
2022-06-11,01,Alabama,313
2022-06-18,01,Alabama,404
2022-06-25,01,Alabama,537
2022-07-02,01,Alabama,683
2022-07-09,01,Alabama,723
2022-07-16,01,Alabama,889
2022-07-23,01,Alabama,969
2022-07-30,01,Alabama,913
2022-08-06,01,Alabama,828
2022-08-13,01,Alabama,861
2022-08-20,01,Alabama,791
2022-08-27,01,Alabama,743
2022-09-03,01,Alabama,747
2022-09-10,01,Alabama,600
2022-09-17,01,Alabama,486
2022-09-24,01,Alabama,373
2022-10-01,01,Alabama,308
2022-10-08,01,Alabama,282
2022-10-15,01,Alabama,231
2022-10-22,01,Alabama,452
2022-10-29,01,Alabama,284
2022-11-05,01,Alabama,234
2022-11-12,01,Alabama,242
2022-11-19,01,Alabama,266
2022-11-26,01,Alabama,263
2022-12-03,01,Alabama,437
2022-12-10,01,Alabama,457
2022-12-17,01,Alabama,532
2022-12-24,01,Alabama,581
2022-12-31,01,Alabama,756
2023-01-07,01,Alabama,788
2023-01-14,01,Alabama,585
2023-01-21,01,Alabama,530
2023-01-28,01,Alabama,500
2023-02-04,01,Alabama,488
2023-02-11,01,Alabama,500
2023-02-18,01,Alabama,459
2023-02-25,01,Alabama,404
2023-03-04,01,Alabama,339
2023-03-11,01,Alabama,239
2023-03-18,01,Alabama,238
2023-03-25,01,Alabama,268
2023-04-01,01,Alabama,296
2023-04-08,01,Alabama,219
2023-04-15,01,Alabama,185
2023-04-22,01,Alabama,166
2023-04-29,01,Alabama,195
2023-05-06,01,Alabama,176
2023-05-13,01,Alabama,146
2023-05-20,01,Alabama,152
2023-05-27,01,Alabama,144
2023-06-03,01,Alabama,139
2023-06-10,01,Alabama,127
2023-06-17,01,Alabama,116
2023-06-24,01,Alabama,136
2023-07-01,01,Alabama,123
2023-07-08,01,Alabama,122
2023-07-15,01,Alabama,165
2023-07-22,01,Alabama,188
2023-07-29,01,Alabama,267
2023-08-05,01,Alabama,332
2023-08-12,01,Alabama,295
2023-08-19,01,Alabama,423
2023-08-26,01,Alabama,470
2023-09-02,01,Alabama,518
2023-09-09,01,Alabama,488
2023-09-16,01,Alabama,406
2023-09-23,01,Alabama,371
2023-09-30,01,Alabama,298
2023-10-07,01,Alabama,254
2023-10-14,01,Alabama,232
2023-10-21,01,Alabama,235
2023-10-28,01,Alabama,267
2023-11-04,01,Alabama,210
2023-11-11,01,Alabama,263
2023-11-18,01,Alabama,226
2023-11-25,01,Alabama,228
2023-12-02,01,Alabama,300
2023-12-09,01,Alabama,348
2023-12-16,01,Alabama,394
2023-12-23,01,Alabama,495
2023-12-30,01,Alabama,540
2024-01-06,01,Alabama,563
2024-01-13,01,Alabama,502
2024-01-20,01,Alabama,429
2024-01-27,01,Alabama,454
2024-02-03,01,Alabama,381
2024-02-10,01,Alabama,366
2024-02-17,01,Alabama,472
2024-02-24,01,Alabama,510
2024-03-02,01,Alabama,429
2024-03-09,01,Alabama,340
2024-03-16,01,Alabama,269
2024-03-23,01,Alabama,236
2024-03-30,01,Alabama,208
2024-04-06,01,Alabama,192
2024-04-13,01,Alabama,158
2024-04-20,01,Alabama,142
2024-04-27,01,Alabama,99
2024-05-04,01,Alabama,63
2024-05-11,01,Alabama,38
2024-05-18,01,Alabama,11
2024-05-25,01,Alabama,14
2024-06-01,01,Alabama,0
2024-06-08,01,Alabama,2
2024-06-15,01,Alabama,2
2024-06-22,01,Alabama,2
2024-06-29,01,Alabama,3
2024-07-06,01,Alabama,8
2024-07-13,01,Alabama,13
2024-07-20,01,Alabama,7
2024-07-27,01,Alabama,12
2024-08-03,01,Alabama,17
2024-08-10,01,Alabama,26
2024-08-17,01,Alabama,14
2024-08-24,01,Alabama,6
2024-08-31,01,Alabama,2
2024-09-07,01,Alabama,4
2024-09-14,01,Alabama,6
2024-09-21,01,Alabama,5
2024-09-28,01,Alabama,3
2024-10-05,01,Alabama,9
2024-10-12,01,Alabama,22
2024-10-19,01,Alabama,21
2024-10-26,01,Alabama,27
2024-11-02,01,Alabama,47
2024-11-09,01,Alabama,112
2024-11-16,01,Alabama,81
2024-11-23,01,Alabama,70
2020-08-08,05,Arkansas,449
2020-08-15,05,Arkansas,412
2020-08-22,05,Arkansas,425
2020-08-29,05,Arkansas,342
2020-09-05,05,Arkansas,328
2020-09-12,05,Arkansas,327
2020-09-19,05,Arkansas,369
2020-09-26,05,Arkansas,456
2020-10-03,05,Arkansas,448
2020-10-10,05,Arkansas,559
2020-10-17,05,Arkansas,604
2020-10-24,05,Arkansas,606
2020-10-31,05,Arkansas,596
2020-11-07,05,Arkansas,664
2020-11-14,05,Arkansas,794
2020-11-21,05,Arkansas,928
2020-11-28,05,Arkansas,910
2020-12-05,05,Arkansas,986
2020-12-12,05,Arkansas,1010
2020-12-19,05,Arkansas,1063
2020-12-26,05,Arkansas,1068
2021-01-02,05,Arkansas,1204
2021-01-09,05,Arkansas,1251
2021-01-16,05,Arkansas,1135
2021-01-23,05,Arkansas,1035
2021-01-30,05,Arkansas,846
2021-02-06,05,Arkansas,743
2021-02-13,05,Arkansas,637
2021-02-20,05,Arkansas,443
2021-02-27,05,Arkansas,400
2021-03-06,05,Arkansas,254
2021-03-13,05,Arkansas,199
2021-03-20,05,Arkansas,213
2021-03-27,05,Arkansas,134
2021-04-03,05,Arkansas,135
2021-04-10,05,Arkansas,177
2021-04-17,05,Arkansas,172
2021-04-24,05,Arkansas,167
2021-05-01,05,Arkansas,204
2021-05-08,05,Arkansas,197
2021-05-15,05,Arkansas,180
2021-05-22,05,Arkansas,212
2021-05-29,05,Arkansas,206
2021-06-05,05,Arkansas,175
2021-06-12,05,Arkansas,201
2021-06-19,05,Arkansas,266
2021-06-26,05,Arkansas,337
2021-07-03,05,Arkansas,401
2021-07-10,05,Arkansas,587
2021-07-17,05,Arkansas,704
2021-07-24,05,Arkansas,895
