target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-03-28,27.97028,0.01,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,15.210343,0.01,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,6.8256533,0.01,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,1.351136,0.01,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,0.039939968,0.01,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,32.848218,0.025,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,20.391843,0.025,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,10.7048,0.025,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,4.3208206,0.025,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,1.8218254,0.025,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,35.877185,0.05,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,23.586422,0.05,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,15.067572,0.05,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,8.9159128,0.05,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,4.9455458,0.05,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,39.503501,0.1,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,28.159965,0.1,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,20.482685,0.1,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,14.634719,0.1,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,9.8894655,0.1,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,41.803034,0.15,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,31.10715,0.15,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,23.584758,0.15,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,18.636333,0.15,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,14.441349,0.15,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,43.842119,0.2,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,34.093029,0.2,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,26.82788,0.2,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,21.681214,0.2,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,18.704101,0.2,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,45.543606,0.25,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,36.334054,0.25,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,29.712766,0.25,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,25.353922,0.25,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,22.539714,0.25,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,46.987861,0.3,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,38.373808,0.3,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,32.708583,0.3,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,28.811432,0.3,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,26.374125,0.3,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,48.286647,0.35,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,40.2514,0.35,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,35.309555,0.35,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,31.805254,0.35,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,30.311751,0.35,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,49.731309,0.4,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,42.192982,0.4,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,38.071224,0.4,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,35.22758,0.4,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,33.807565,0.4,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,50.773896,0.45,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,44.272077,0.45,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,40.877201,0.45,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,39.099135,0.45,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,37.606648,0.45,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,51.932087,0.5,-1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-04,46.402162,0.5,0,quantile,2026-04-04,01,wk inc covid hosp
2026-04-11,43.488387,0.5,1,quantile,2026-04-04,01,wk inc covid hosp
2026-04-18,42.301726,0.5,2,quantile,2026-04-04,01,wk inc covid hosp
2026-04-25,41.438832,0.5,3,quantile,2026-04-04,01,wk inc covid hosp
2026-03-28,53.044565,0.55,-1,quantile,2026-04-04,01,wk inc covid hosp
