target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-05-02,55.933234,0.6,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,58.917832,0.6,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,63.738045,0.6,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,55.634651,0.65,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,56.34982,0.65,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,58.652409,0.65,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,63.255131,0.65,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,69.045487,0.65,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,56.813517,0.7,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,58.367052,0.7,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,61.991279,0.7,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,67.703019,0.7,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,73.7288,0.7,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,58.429905,0.75,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,60.663902,0.75,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,65.286289,0.75,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,72.184579,0.75,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,80.370031,0.75,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,60.271228,0.8,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,63.287202,0.8,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,68.977005,0.8,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,77.833346,0.8,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,88.14571,0.8,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,62.212628,0.85,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,66.856529,0.85,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,73.431539,0.85,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,84.327886,0.85,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,96.479014,0.85,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,64.68991,0.9,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,71.426543,0.9,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,80.853232,0.9,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,93.844304,0.9,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,107.94396,0.9,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,68.839998,0.95,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,77.201916,0.95,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,91.213168,0.95,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,106.94646,0.95,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,126.05739,0.95,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,72.004672,0.975,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,83.301942,0.975,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,100.3167,0.975,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,120.65428,0.975,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,139.01916,0.975,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,76.918623,0.99,-1,quantile,2026-04-25,01,wk inc covid hosp
2026-04-25,91.078367,0.99,0,quantile,2026-04-25,01,wk inc covid hosp
2026-05-02,113.40693,0.99,1,quantile,2026-04-25,01,wk inc covid hosp
2026-05-09,135.31239,0.99,2,quantile,2026-04-25,01,wk inc covid hosp
2026-05-16,159.02157,0.99,3,quantile,2026-04-25,01,wk inc covid hosp
2026-04-18,0.99682287,0.01,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,0.79357333,0.01,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,0.53358282,0.01,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,0.52439122,0.01,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,0.3126081,0.01,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,1.2346479,0.025,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,1.1005216,0.025,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,0.95922302,0.025,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,0.82542871,0.025,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,0.61894654,0.025,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,1.5052486,0.05,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,1.4066877,0.05,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,1.2347357,0.05,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,1.1631787,0.05,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,1.0426516,0.05,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,2.0155135,0.1,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,1.8823375,0.1,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,1.7037685,0.1,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,1.7010765,0.1,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,1.5333587,0.1,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,2.3255255,0.15,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,2.2473323,0.15,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,2.1308486,0.15,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,2.0890421,0.15,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,1.979206,0.15,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,2.5997738,0.2,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,2.6172067,0.2,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,2.47982,0.2,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,2.3937524,0.2,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,2.378793,0.2,3,quantile,2026-04-25,02,wk inc covid hosp
2026-04-18,2.9473815,0.25,-1,quantile,2026-04-25,02,wk inc covid hosp
2026-04-25,2.9258187,0.25,0,quantile,2026-04-25,02,wk inc covid hosp
2026-05-02,2.7574008,0.25,1,quantile,2026-04-25,02,wk inc covid hosp
2026-05-09,2.7689183,0.25,2,quantile,2026-04-25,02,wk inc covid hosp
2026-05-16,2.7390324,0.25,3,quantile,2026-04-25,02,wk inc covid hosp
