date,state,value,location
2024-11-09,AK,13,02
2024-11-16,AK,10,02
2024-11-23,AK,7,02
2024-11-09,AL,112,01
2024-11-16,AL,81,01
2024-11-23,AL,70,01
2024-11-09,AR,59,05
2024-11-16,AR,41,05
2024-11-23,AR,51,05
2024-11-09,AZ,505,04
2024-11-16,AZ,680,04
2024-11-23,AZ,734,04
2024-11-09,CA,603,06
2024-11-16,CA,650,06
2024-11-23,CA,608,06
2024-11-09,CO,143,08
2024-11-16,CO,161,08
2024-11-23,CO,131,08
2024-11-09,CT,79,09
2024-11-16,CT,68,09
2024-11-23,CT,79,09
2024-11-09,DC,8,11
2024-11-16,DC,17,11
2024-11-23,DC,24,11
2024-11-09,DE,19,10
2024-11-16,DE,18,10
2024-11-23,DE,20,10
2024-11-09,FL,401,12
2024-11-16,FL,318,12
2024-11-23,FL,252,12
2024-11-09,GA,83,13
2024-11-16,GA,76,13
2024-11-23,GA,68,13
2024-11-09,HI,22,15
2024-11-16,HI,20,15
2024-11-23,HI,12,15
2024-11-09,IA,48,19
2024-11-16,IA,40,19
2024-11-23,IA,50,19
2024-11-09,ID,33,16
2024-11-16,ID,22,16
2024-11-23,ID,17,16
2024-11-09,IL,225,17
2024-11-16,IL,198,17
2024-11-23,IL,243,17
2024-11-09,IN,181,18
2024-11-16,IN,143,18
2024-11-23,IN,163,18
2024-11-09,KS,61,20
2024-11-16,KS,45,20
2024-11-23,KS,53,20
2024-11-09,KY,124,21
2024-11-16,KY,94,21
2024-11-23,KY,92,21
2024-11-09,LA,76,22
2024-11-16,LA,66,22
2024-11-23,LA,67,22
2024-11-09,MA,217,25
2024-11-16,MA,295,25
2024-11-23,MA,357,25
2024-11-09,MD,99,24
2024-11-16,MD,66,24
2024-11-23,MD,77,24
2024-11-09,ME,35,23
2024-11-16,ME,25,23
2024-11-23,ME,21,23
2024-11-09,MI,546,26
2024-11-16,MI,600,26
2024-11-23,MI,426,26
2024-11-09,MN,202,27
2024-11-16,MN,189,27
2024-11-23,MN,226,27
2024-11-09,MO,150,29
2024-11-16,MO,143,29
2024-11-23,MO,171,29
2024-11-09,MS,37,28
2024-11-16,MS,38,28
2024-11-23,MS,37,28
2024-11-09,MT,18,30
2024-11-16,MT,21,30
2024-11-23,MT,20,30
2024-11-09,NC,192,37
2024-11-16,NC,177,37
2024-11-23,NC,134,37
2024-11-09,ND,14,38
2024-11-16,ND,11,38
2024-11-23,ND,18,38
2024-11-09,NE,32,31
2024-11-16,NE,41,31
2024-11-23,NE,25,31
2024-11-09,NH,55,33
2024-11-16,NH,58,33
2024-11-23,NH,20,33
2024-11-09,NJ,184,34
2024-11-16,NJ,200,34
2024-11-23,NJ,31,34
2024-11-09,NM,89,35
2024-11-16,NM,77,35
2024-11-23,NM,116,35
2024-11-09,NV,43,32
2024-11-16,NV,47,32
2024-11-23,NV,29,32
2024-11-09,NY,417,36
2024-11-16,NY,366,36
2024-11-23,NY,386,36
2024-11-09,OH,393,39
2024-11-16,OH,334,39
2024-11-23,OH,259,39
2024-11-09,OK,59,40
2024-11-16,OK,71,40
2024-11-23,OK,59,40
2024-11-09,OR,73,41
2024-11-16,OR,70,41
2024-11-23,OR,56,41
2024-11-09,PA,892,42
2024-11-16,PA,1005,42
2024-11-23,PA,996,42
2024-11-09,PR,9,72
2024-11-16,PR,18,72
2024-11-23,PR,24,72
2024-11-09,RI,28,44
2024-11-16,RI,20,44
2024-11-23,RI,30,44
2024-11-09,SC,75,45
2024-11-16,SC,69,45
2024-11-23,SC,66,45
2024-11-09,SD,30,46
2024-11-16,SD,35,46
2024-11-23,SD,31,46
2024-11-09,TN,113,47
2024-11-16,TN,148,47
2024-11-23,TN,97,47
2024-11-09,TX,341,48
2024-11-16,TX,228,48
2024-11-23,TX,249,48
2024-11-09,US,7691,US
2024-11-16,US,7595,US
2024-11-23,US,7290,US
2024-11-09,UT,41,49
2024-11-16,UT,46,49
2024-11-23,UT,57,49
2024-11-09,VA,126,51
2024-11-16,VA,102,51
2024-11-23,VA,102,51
2024-11-09,VT,19,50
2024-11-16,VT,9,50
2024-11-23,VT,21,50
2024-11-09,WA,93,53
2024-11-16,WA,81,53
2024-11-23,WA,88,53
2024-11-09,WI,155,55
2024-11-16,WI,147,55
2024-11-23,WI,140,55
2024-11-09,WV,60,54
2024-11-16,WV,59,54
2024-11-23,WV,150,54
2024-11-09,WY,59,56
2024-11-16,WY,48,56
2024-11-23,WY,30,56
