date,state,value,location
2024-11-30,PR,78,72
2024-12-07,PR,103,72
2024-11-09,RI,29,44
2024-11-16,RI,21,44
2024-11-23,RI,30,44
2024-11-30,RI,21,44
2024-12-07,RI,40,44
2024-11-09,SC,77,45
2024-11-16,SC,69,45
2024-11-23,SC,72,45
2024-11-30,SC,67,45
2024-12-07,SC,75,45
2024-11-09,SD,30,46
2024-11-16,SD,36,46
2024-11-23,SD,31,46
2024-11-30,SD,19,46
2024-12-07,SD,23,46
2024-11-09,TN,121,47
2024-11-16,TN,159,47
2024-11-23,TN,98,47
2024-11-30,TN,143,47
2024-12-07,TN,130,47
2024-11-09,TX,347,48
2024-11-16,TX,231,48
2024-11-23,TX,257,48
2024-11-30,TX,282,48
2024-12-07,TX,362,48
2024-11-09,US,7932,US
2024-11-16,US,7791,US
2024-11-23,US,7887,US
2024-11-30,US,7648,US
2024-12-07,US,8283,US
2024-11-09,UT,43,49
2024-11-16,UT,47,49
2024-11-23,UT,64,49
2024-11-30,UT,57,49
2024-12-07,UT,61,49
2024-11-09,VA,126,51
2024-11-16,VA,104,51
2024-11-23,VA,116,51
2024-11-30,VA,101,51
2024-12-07,VA,117,51
2024-11-09,VT,21,50
2024-11-16,VT,11,50
2024-11-23,VT,21,50
2024-11-30,VT,12,50
2024-12-07,VT,12,50
2024-11-09,WA,97,53
2024-11-16,WA,83,53
2024-11-23,WA,89,53
2024-11-30,WA,75,53
2024-12-07,WA,51,53
2024-11-09,WI,158,55
2024-11-16,WI,149,55
2024-11-23,WI,148,55
2024-11-30,WI,133,55
2024-12-07,WI,181,55
2024-11-09,WV,62,54
2024-11-16,WV,64,54
2024-11-23,WV,150,54
2024-11-30,WV,151,54
2024-12-07,WV,88,54
2024-11-09,WY,61,56
2024-11-16,WY,48,56
2024-11-23,WY,31,56
2024-11-30,WY,47,56
2024-12-07,WY,42,56
