state,date,value,location
AK,2024-11-09,13,02
AK,2024-11-16,10,02
AK,2024-11-23,8,02
AK,2024-11-30,5,02
AK,2024-12-07,17,02
AK,2024-12-14,8,02
AK,2024-12-21,10,02
AK,2024-12-28,14,02
AK,2025-01-04,6,02
AK,2025-01-11,14,02
AK,2025-01-18,7,02
AK,2025-01-25,5,02
AK,2025-02-01,9,02
AK,2025-02-08,10,02
AK,2025-02-15,11,02
AK,2025-02-22,10,02
AK,2025-03-01,19,02
AK,2025-03-08,14,02
AK,2025-03-15,21,02
AK,2025-03-22,10,02
AK,2025-03-29,8,02
AK,2025-04-05,7,02
AK,2025-04-12,4,02
AK,2025-04-19,7,02
AK,2025-04-26,6,02
AK,2025-05-03,8,02
AK,2025-05-10,3,02
AL,2024-11-09,115,01
AL,2024-11-16,83,01
AL,2024-11-23,71,01
AL,2024-11-30,91,01
AL,2024-12-07,104,01
AL,2024-12-14,112,01
AL,2024-12-21,151,01
AL,2024-12-28,215,01
AL,2025-01-04,226,01
AL,2025-01-11,214,01
AL,2025-01-18,191,01
AL,2025-01-25,178,01
AL,2025-02-01,209,01
AL,2025-02-08,225,01
AL,2025-02-15,225,01
AL,2025-02-22,186,01
AL,2025-03-01,207,01
AL,2025-03-08,237,01
AL,2025-03-15,244,01
AL,2025-03-22,230,01
AL,2025-03-29,192,01
AL,2025-04-05,139,01
AL,2025-04-12,118,01
AL,2025-04-19,101,01
AL,2025-04-26,84,01
AL,2025-05-03,80,01
AL,2025-05-10,61,01
AR,2024-11-09,60,05
AR,2024-11-16,46,05
AR,2024-11-23,52,05
AR,2024-11-30,58,05
AR,2024-12-07,66,05
AR,2024-12-14,61,05
AR,2024-12-21,83,05
AR,2024-12-28,125,05
AR,2025-01-04,154,05
AR,2025-01-11,105,05
AR,2025-01-18,109,05
AR,2025-01-25,104,05
AR,2025-02-01,99,05
AR,2025-02-08,124,05
AR,2025-02-15,109,05
AR,2025-02-22,84,05
AR,2025-03-01,109,05
AR,2025-03-08,114,05
AR,2025-03-15,105,05
AR,2025-03-22,61,05
AR,2025-03-29,77,05
AR,2025-04-05,54,05
AR,2025-04-12,41,05
AR,2025-04-19,31,05
AR,2025-04-26,25,05
AR,2025-05-03,18,05
AR,2025-05-10,6,05
AZ,2024-11-09,519,04
AZ,2024-11-16,675,04
AZ,2024-11-23,779,04
AZ,2024-11-30,743,04
AZ,2024-12-07,838,04
AZ,2024-12-14,756,04
AZ,2024-12-21,763,04
AZ,2024-12-28,776,04
AZ,2025-01-04,719,04
AZ,2025-01-11,462,04
AZ,2025-01-18,449,04
AZ,2025-01-25,312,04
AZ,2025-02-01,403,04
AZ,2025-02-08,311,04
AZ,2025-02-15,318,04
AZ,2025-02-22,262,04
AZ,2025-03-01,279,04
AZ,2025-03-08,227,04
AZ,2025-03-15,176,04
AZ,2025-03-22,195,04
AZ,2025-03-29,187,04
AZ,2025-04-05,167,04
AZ,2025-04-12,53,04
AZ,2025-04-19,141,04
AZ,2025-04-26,109,04
AZ,2025-05-03,68,04
AZ,2025-05-10,69,04
CA,2024-11-09,634,06
CA,2024-11-16,683,06
CA,2024-11-23,656,06
CA,2024-11-30,691,06
CA,2024-12-07,752,06
CA,2024-12-14,737,06
CA,2024-12-21,820,06
CA,2024-12-28,932,06
CA,2025-01-04,1020,06
CA,2025-01-11,900,06
CA,2025-01-18,905,06
CA,2025-01-25,913,06
CA,2025-02-01,989,06
CA,2025-02-08,891,06
CA,2025-02-15,862,06
CA,2025-02-22,689,06
CA,2025-03-01,669,06
CA,2025-03-08,623,06
CA,2025-03-15,576,06
CA,2025-03-22,594,06
CA,2025-03-29,576,06
CA,2025-04-05,500,06
CA,2025-04-12,613,06
CA,2025-04-19,525,06
CA,2025-04-26,528,06
CA,2025-05-03,486,06
CA,2025-05-10,449,06
CO,2024-11-09,145,08
CO,2024-11-16,163,08
CO,2024-11-23,150,08
CO,2024-11-30,171,08
CO,2024-12-07,183,08
CO,2024-12-14,173,08
CO,2024-12-21,228,08
CO,2024-12-28,289,08
CO,2025-01-04,335,08
CO,2025-01-11,236,08
CO,2025-01-18,172,08
CO,2025-01-25,166,08
CO,2025-02-01,153,08
CO,2025-02-08,135,08
CO,2025-02-15,131,08
CO,2025-02-22,102,08
CO,2025-03-01,81,08
CO,2025-03-08,96,08
CO,2025-03-15,104,08
CO,2025-03-22,79,08
CO,2025-03-29,72,08
CO,2025-04-05,65,08
CO,2025-04-12,55,08
CO,2025-04-19,56,08
CO,2025-04-26,38,08
CO,2025-05-03,42,08
CO,2025-05-10,26,08
CT,2024-11-09,82,09
CT,2024-11-16,70,09
CT,2024-11-23,79,09
CT,2024-11-30,68,09
CT,2024-12-07,94,09
CT,2024-12-14,101,09
CT,2024-12-21,96,09
CT,2024-12-28,160,09
CT,2025-01-04,236,09
CT,2025-01-11,227,09
CT,2025-01-18,188,09
CT,2025-01-25,157,09
CT,2025-02-01,190,09
CT,2025-02-08,166,09
CT,2025-02-15,149,09
CT,2025-02-22,126,09
CT,2025-03-01,118,09
CT,2025-03-08,84,09
CT,2025-03-15,78,09
CT,2025-03-22,79,09
CT,2025-03-29,73,09
CT,2025-04-05,65,09
CT,2025-04-12,64,09
CT,2025-04-19,58,09
CT,2025-04-26,98,09
CT,2025-05-03,57,09
CT,2025-05-10,46,09
DC,2024-11-09,9,11
DC,2024-11-16,6,11
DC,2024-11-23,16,11
DC,2024-11-30,10,11
DC,2024-12-07,13,11
DC,2024-12-14,16,11
DC,2024-12-21,21,11
