location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,24.021866005022336
02,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
04,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,2.3116776038043123
05,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
06,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,215.99300608481926
08,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
09,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
10,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
11,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
12,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,117.85353962355721
13,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,25.847625923205356
15,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,3.1917895368837472
16,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
17,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.49176617318385746
18,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
19,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
20,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
21,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
22,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,21.946585432030364
23,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
24,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
25,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
26,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
27,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,1.0487895872510562
28,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,7.844039833483376
29,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
30,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
31,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
32,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,5.274967446059059
33,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
34,2026-08-08,0,2026-08-08,wk inc covid hosp,quantile,0.01,3.118664693835847
