location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,16.302094820581495
02,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
04,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,2.749917359420717
05,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
06,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,133.38639259331433
08,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.08113485976380781
09,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
10,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
11,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
12,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,81.801549704086
13,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,19.119755556939474
15,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,4.158980696437565
16,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
17,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
18,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
19,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
20,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
21,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
22,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,24.033733965761922
23,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
24,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
25,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
26,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
27,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
28,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,7.212159155090419
29,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
30,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
31,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
32,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,4.733896025994494
33,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
34,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,5.302995252723199
35,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
36,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,44.19327233226692
37,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,13.576775647487578
38,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
39,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
40,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
41,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
42,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
44,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
45,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
46,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
47,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,3.6156759541675596
48,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,76.30649318264435
49,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
50,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
51,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
53,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,1.153921956543125
54,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
55,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
56,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,0.0
72,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,3.8484165084113897
US,2026-08-01,0,2026-08-01,wk inc covid hosp,quantile,0.01,733.0066952540839
01,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,12.023789141143691
02,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
04,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
05,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
06,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,114.44603199042824
08,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
09,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
10,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
11,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,0.0
12,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,40.11037470435827
13,2026-08-01,1,2026-08-08,wk inc covid hosp,quantile,0.01,10.462152014446263
