location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,10.255414863752415,2026-07-04,2026-07-04,quantile,wk inc covid hosp
02,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
04,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
05,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
06,0,0.01,40.90150790776323,2026-07-04,2026-07-04,quantile,wk inc covid hosp
08,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
09,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
10,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
11,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
12,0,0.01,37.2269449762936,2026-07-04,2026-07-04,quantile,wk inc covid hosp
13,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
15,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
16,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
17,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
18,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
19,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
20,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
21,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
22,0,0.01,8.174610391053534,2026-07-04,2026-07-04,quantile,wk inc covid hosp
23,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
24,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
25,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
26,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
27,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
28,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
29,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
30,0,0.01,0.5492914146387521,2026-07-04,2026-07-04,quantile,wk inc covid hosp
31,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
32,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
33,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
34,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
35,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
36,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
37,0,0.01,9.432002797972487,2026-07-04,2026-07-04,quantile,wk inc covid hosp
38,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
39,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
40,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
41,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
42,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
44,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
45,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
46,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
47,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
48,0,0.01,21.31970316457193,2026-07-04,2026-07-04,quantile,wk inc covid hosp
49,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
50,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
51,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
53,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
54,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
55,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
56,0,0.01,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
72,0,0.01,0.42422959741866195,2026-07-04,2026-07-04,quantile,wk inc covid hosp
US,0,0.01,275.90799356450634,2026-07-04,2026-07-04,quantile,wk inc covid hosp
01,0,0.025,13.39422903308772,2026-07-04,2026-07-04,quantile,wk inc covid hosp
02,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
04,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
05,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
06,0,0.025,53.28811119330799,2026-07-04,2026-07-04,quantile,wk inc covid hosp
08,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
09,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
10,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
11,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
12,0,0.025,50.68161396091728,2026-07-04,2026-07-04,quantile,wk inc covid hosp
13,0,0.025,1.0963063878893946,2026-07-04,2026-07-04,quantile,wk inc covid hosp
15,0,0.025,0.00446280072854363,2026-07-04,2026-07-04,quantile,wk inc covid hosp
16,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
17,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
18,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
19,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
20,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
21,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
22,0,0.025,11.678515779924334,2026-07-04,2026-07-04,quantile,wk inc covid hosp
23,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
24,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
25,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
26,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
27,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
28,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
29,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
30,0,0.025,1.5306876908913543,2026-07-04,2026-07-04,quantile,wk inc covid hosp
31,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
32,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
33,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
34,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
35,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
36,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
37,0,0.025,13.930713569285302,2026-07-04,2026-07-04,quantile,wk inc covid hosp
38,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
39,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
40,0,0.025,1.5386484784150898,2026-07-04,2026-07-04,quantile,wk inc covid hosp
41,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
42,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
44,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
45,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
46,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
47,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
48,0,0.025,33.80587423095873,2026-07-04,2026-07-04,quantile,wk inc covid hosp
49,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
50,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
51,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
53,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
54,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
55,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
56,0,0.025,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
72,0,0.025,3.02641383813167,2026-07-04,2026-07-04,quantile,wk inc covid hosp
US,0,0.025,380.8413104066552,2026-07-04,2026-07-04,quantile,wk inc covid hosp
01,0,0.05,16.061435832268565,2026-07-04,2026-07-04,quantile,wk inc covid hosp
02,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
04,0,0.05,0.5141244565449014,2026-07-04,2026-07-04,quantile,wk inc covid hosp
05,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
06,0,0.05,63.421088521760225,2026-07-04,2026-07-04,quantile,wk inc covid hosp
08,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
09,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
10,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
11,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
12,0,0.05,65.49167721872196,2026-07-04,2026-07-04,quantile,wk inc covid hosp
13,0,0.05,4.640843961720905,2026-07-04,2026-07-04,quantile,wk inc covid hosp
15,0,0.05,0.7795993654044495,2026-07-04,2026-07-04,quantile,wk inc covid hosp
16,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
17,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
18,0,0.05,0.0,2026-07-04,2026-07-04,quantile,wk inc covid hosp
