location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,51.330715121485504,2026-03-14,2026-03-14,quantile,wk inc covid hosp
02,0,0.01,0.1464468246202403,2026-03-14,2026-03-14,quantile,wk inc covid hosp
04,0,0.01,16.269642311257677,2026-03-14,2026-03-14,quantile,wk inc covid hosp
05,0,0.01,10.527405886587148,2026-03-14,2026-03-14,quantile,wk inc covid hosp
06,0,0.01,87.9845247435468,2026-03-14,2026-03-14,quantile,wk inc covid hosp
08,0,0.01,27.061491746429297,2026-03-14,2026-03-14,quantile,wk inc covid hosp
09,0,0.01,13.386437993710649,2026-03-14,2026-03-14,quantile,wk inc covid hosp
10,0,0.01,6.987000373328936,2026-03-14,2026-03-14,quantile,wk inc covid hosp
11,0,0.01,2.3001053105546467,2026-03-14,2026-03-14,quantile,wk inc covid hosp
12,0,0.01,65.93743550831732,2026-03-14,2026-03-14,quantile,wk inc covid hosp
13,0,0.01,27.598263311433936,2026-03-14,2026-03-14,quantile,wk inc covid hosp
15,0,0.01,0.0,2026-03-14,2026-03-14,quantile,wk inc covid hosp
16,0,0.01,0.07081956348853545,2026-03-14,2026-03-14,quantile,wk inc covid hosp
17,0,0.01,145.2756102139686,2026-03-14,2026-03-14,quantile,wk inc covid hosp
18,0,0.01,84.12371915637983,2026-03-14,2026-03-14,quantile,wk inc covid hosp
19,0,0.01,22.913791480869964,2026-03-14,2026-03-14,quantile,wk inc covid hosp
20,0,0.01,9.39696304918777,2026-03-14,2026-03-14,quantile,wk inc covid hosp
21,0,0.01,52.37982426981504,2026-03-14,2026-03-14,quantile,wk inc covid hosp
22,0,0.01,28.09589505761232,2026-03-14,2026-03-14,quantile,wk inc covid hosp
23,0,0.01,0.0,2026-03-14,2026-03-14,quantile,wk inc covid hosp
24,0,0.01,50.2634843343155,2026-03-14,2026-03-14,quantile,wk inc covid hosp
25,0,0.01,28.635469051468828,2026-03-14,2026-03-14,quantile,wk inc covid hosp
26,0,0.01,87.32897622088811,2026-03-14,2026-03-14,quantile,wk inc covid hosp
27,0,0.01,57.92394504732234,2026-03-14,2026-03-14,quantile,wk inc covid hosp
28,0,0.01,11.592498547084244,2026-03-14,2026-03-14,quantile,wk inc covid hosp
29,0,0.01,35.94781206292718,2026-03-14,2026-03-14,quantile,wk inc covid hosp
30,0,0.01,8.004824266303014,2026-03-14,2026-03-14,quantile,wk inc covid hosp
31,0,0.01,14.373707349698927,2026-03-14,2026-03-14,quantile,wk inc covid hosp
32,0,0.01,3.896513775552907,2026-03-14,2026-03-14,quantile,wk inc covid hosp
33,0,0.01,2.5423988518478375,2026-03-14,2026-03-14,quantile,wk inc covid hosp
34,0,0.01,86.93212702088593,2026-03-14,2026-03-14,quantile,wk inc covid hosp
35,0,0.01,5.452790017775585,2026-03-14,2026-03-14,quantile,wk inc covid hosp
36,0,0.01,181.41119370386272,2026-03-14,2026-03-14,quantile,wk inc covid hosp
37,0,0.01,129.53187286287428,2026-03-14,2026-03-14,quantile,wk inc covid hosp
38,0,0.01,12.594995367795443,2026-03-14,2026-03-14,quantile,wk inc covid hosp
39,0,0.01,168.65537773942464,2026-03-14,2026-03-14,quantile,wk inc covid hosp
40,0,0.01,53.91277359206005,2026-03-14,2026-03-14,quantile,wk inc covid hosp
41,0,0.01,0.0,2026-03-14,2026-03-14,quantile,wk inc covid hosp
42,0,0.01,192.1268060412342,2026-03-14,2026-03-14,quantile,wk inc covid hosp
44,0,0.01,4.898661745034582,2026-03-14,2026-03-14,quantile,wk inc covid hosp
45,0,0.01,40.31500879839402,2026-03-14,2026-03-14,quantile,wk inc covid hosp
46,0,0.01,3.434118188153571,2026-03-14,2026-03-14,quantile,wk inc covid hosp
47,0,0.01,47.584823629812746,2026-03-14,2026-03-14,quantile,wk inc covid hosp
48,0,0.01,58.94223542012233,2026-03-14,2026-03-14,quantile,wk inc covid hosp
49,0,0.01,0.0,2026-03-14,2026-03-14,quantile,wk inc covid hosp
50,0,0.01,2.005844129048361,2026-03-14,2026-03-14,quantile,wk inc covid hosp
51,0,0.01,65.13559407051669,2026-03-14,2026-03-14,quantile,wk inc covid hosp
53,0,0.01,20.314325042672156,2026-03-14,2026-03-14,quantile,wk inc covid hosp
54,0,0.01,24.185690811400093,2026-03-14,2026-03-14,quantile,wk inc covid hosp
55,0,0.01,74.5609538693615,2026-03-14,2026-03-14,quantile,wk inc covid hosp
56,0,0.01,0.8615142091971523,2026-03-14,2026-03-14,quantile,wk inc covid hosp
72,0,0.01,0.0,2026-03-14,2026-03-14,quantile,wk inc covid hosp
US,0,0.01,2943.860846247775,2026-03-14,2026-03-14,quantile,wk inc covid hosp
01,0,0.025,57.70098735065258,2026-03-14,2026-03-14,quantile,wk inc covid hosp
02,0,0.025,0.651226923007854,2026-03-14,2026-03-14,quantile,wk inc covid hosp
04,0,0.025,21.316583763426706,2026-03-14,2026-03-14,quantile,wk inc covid hosp
05,0,0.025,12.539811217163788,2026-03-14,2026-03-14,quantile,wk inc covid hosp
06,0,0.025,100.8665218522582,2026-03-14,2026-03-14,quantile,wk inc covid hosp
