location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
01,0,0.01,9.402266191449847,2026-06-27,2026-06-27,quantile,wk inc covid hosp
02,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
04,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
05,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
06,0,0.01,64.6998762305787,2026-06-27,2026-06-27,quantile,wk inc covid hosp
08,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
09,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
10,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
11,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
12,0,0.01,20.763067633026463,2026-06-27,2026-06-27,quantile,wk inc covid hosp
13,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
15,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
16,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
17,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
18,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
19,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
20,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
21,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
22,0,0.01,6.432681531169568,2026-06-27,2026-06-27,quantile,wk inc covid hosp
23,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
24,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
25,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
26,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
27,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
28,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
29,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
30,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
31,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
32,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
33,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
34,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
35,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
36,0,0.01,0.3187194775056312,2026-06-27,2026-06-27,quantile,wk inc covid hosp
37,0,0.01,16.980192920890403,2026-06-27,2026-06-27,quantile,wk inc covid hosp
38,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
39,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
40,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
41,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
42,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
44,0,0.01,0.0,2026-06-27,2026-06-27,quantile,wk inc covid hosp
