location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
01,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,58.34320064709715
02,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
04,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,41.840516425894116
05,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,2.6940652196504757
06,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,452.2848022702022
08,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,6.7037651543397665
09,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
10,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.33131176931570494
11,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
12,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,308.7020335220184
13,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,60.2578203764113
15,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,13.463249531138677
16,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,4.856746319941315
17,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,13.441515245957717
18,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,10.03418464929556
19,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,1.6798999917587394
20,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
21,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.5221825958053252
22,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,48.77596892567165
23,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
24,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.8754439646900751
25,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,8.391650945798297
26,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
27,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,7.691068519982854
28,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,13.758674857113101
29,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,7.531800439097348
30,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
31,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
32,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,11.035384843932738
33,2026-09-12,0,2026-09-12,wk inc covid hosp,quantile,0.01,0.0
