location_name,horizon,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
US,0,3.41040346505708,5.2114665213959555,7.223109236317266,11385.6225553795,17398.4665980328,24114.3302496637,3.41,5.21,7.22,11386,17398,24114,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
US,1,3.315563621673085,5.801599395615017,8.87779325564157,11069,19368.6235698464,29638.48828125,3.32,5.8,8.88,11069,19369,29638,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
US,2,2.951028349509733,6.1048314447595295,9.728229393784162,9852,20380.9629289949,32477.6669812353,2.95,6.1,9.73,9852,20381,32478,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Alabama,0,2.842575428029975,4.597684750393645,6.751186083854194,144.896331263983,234.360589369513,344.132326475811,2.84,4.6,6.75,145,234,344,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Alabama,1,2.6303799437041833,4.991071388240699,7.504506146599858,134.079961402199,254.41292642634,382.531769559384,2.63,4.99,7.5,134,254,383,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Alabama,2,2.519711822579625,5.430296339150866,8.989723644785252,128.438807756563,276.801807776304,458.238667077062,2.52,5.43,8.99,128,277,458,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Alaska,0,0.2928587787225138,1.004270432463247,2.7179669522624073,2.08430814263379,7.1475031375885,19.3440697756163,0.29,1,2.72,2,7,19,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Alaska,1,0.24468704649135112,1.0915906830636466,3.365769414225648,1.74146462545406,7.76897096633911,23.9545511556795,0.24,1.09,3.37,2,8,24,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Alaska,2,0.21288500264495278,1.234289449829431,3.846792058136561,1.51512598117442,8.78457378627554,27.3780422248843,0.21,1.23,3.85,2,9,27,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Arizona,0,5.391934514320319,9.399433527399843,12.838124368229385,399.760505181585,696.878325460847,951.824446197736,5.39,9.4,12.84,400,697,952,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Arizona,1,4.20801053392334,9.064850601152825,13.720456580868126,311.983836669922,672.072193400747,1017.24096231559,4.21,9.06,13.72,312,672,1017,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Arizona,2,3.515893524446193,8.68739052752976,14.647471966511402,260.669963213462,644.087129910699,1085.97030943426,3.52,8.69,14.65,261,644,1086,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Arkansas,0,2.910155030341811,4.887128765365427,7.441292302505763,89.1664516924658,149.740452459893,227.999410238624,2.91,4.89,7.44,89,150,228,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Arkansas,1,2.45272120734369,5.137352568718913,8.682698215969904,75.1507891399209,157.407249740931,266.035789489746,2.45,5.14,8.68,75,157,266,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Arkansas,2,2.2773737562079535,5.589018659113485,11.09589634832355,69.7781853205102,171.246190350759,339.97560109751,2.28,5.59,11.1,70,171,340,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
California,0,1.5773703426340555,2.518271036737972,3.870965969856071,612.464243225678,977.798886580617,1503.02575064344,1.58,2.52,3.87,612,978,1503,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
California,1,1.3109163516613693,2.7043044382927217,4.7462806958178545,509.005,1050.03227617742,1842.89455426583,1.31,2.7,4.75,509,1050,1843,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
California,2,1.1822340489123584,2.778338389523558,5.160823104557481,459.04,1078.77831424346,2003.85383934386,1.18,2.78,5.16,459,1079,2004,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Colorado,0,2.8612095662839105,4.263109836842345,6.60392067659119,167.189544992294,249.107021824881,385.888019561768,2.86,4.26,6.6,167,249,386,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Colorado,1,2.1530579292549077,4.377260733399745,7.461515437208011,125.81,255.777220569072,436,2.15,4.38,7.46,126,256,436,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Colorado,2,1.8504270142372903,4.586436094430612,8.18028527290236,108.12631629552,268,478,1.85,4.59,8.18,108,268,478,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Connecticut,0,3.652604500296872,6.750042274608174,10.321305049599538,131.943908989304,243.833397095817,372.838979419896,3.65,6.75,10.32,132,244,373,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Connecticut,1,3.5641716467130307,7.431199852022162,12.886036938222098,128.74942779541,268.439015742561,465.485404968262,3.56,7.43,12.89,129,268,465,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Connecticut,2,3.4843016312164137,8.435381895616063,14.437570022672412,125.864264056822,304.713324706994,521.531806945801,3.48,8.44,14.44,126,305,522,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Delaware,0,4.692285445832823,7.859747037864001,11.537507299208803,48.257434284832,80.8329396311493,118.656570818129,4.69,7.86,11.54,48,81,119,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Delaware,1,4.152930059605189,8.54034033951584,13.562736672906395,42.7104769636048,87.8324469945235,139.484880293572,4.15,8.54,13.56,43,88,139,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Delaware,2,4.225948907520172,9.5414535860485,14.509503372522222,43.4614334634786,98.1283160894289,149.221826674435,4.23,9.54,14.51,43,98,149,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
District of Columbia,0,1.0100065131892868,2.9210671027530895,5.7879205838738255,6.82541191476543,19.7399580563138,39.1135518424967,1.01,2.92,5.79,7,20,39,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
District of Columbia,1,0.907025114198149,3.015804341905312,7.397503761960462,6.12948524647711,20.3801724236843,49.9907769475388,0.91,3.02,7.4,6,20,50,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
District of Columbia,2,0.9479621324613134,3.2137401535174814,8.245150956172772,6.40612901912574,21.7177810720389,55.7189986801148,0.95,3.21,8.25,6,22,56,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Florida,0,1.2369072964873429,2.6397408397805764,4.187208749522479,278.932391663684,595.282466117971,944.248735710615,1.24,2.64,4.19,279,595,944,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Florida,1,1.26277161352027,2.789956616911854,4.689626629116929,284.765,629.157313570029,1057.54794670877,1.26,2.79,4.69,285,629,1058,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Florida,2,1.1737484021186573,3.0565979631244033,5.412226763476866,264.689560765102,689.287048940421,1220.5,1.17,3.06,5.41,265,689,1220,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Georgia,0,1.5232811662242065,2.871577007104921,4.39733884184911,167.14,315.079967907168,482.492155961234,1.52,2.87,4.4,167,315,482,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Georgia,1,1.522005233692967,3.224368672199909,5.4341592356960815,167,353.789564146801,596.255894704969,1.52,3.22,5.43,167,354,596,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Georgia,2,1.4113945909210202,3.5133713628062204,6.880851471160005,154.863394334003,385.5,754.992276140575,1.41,3.51,6.88,155,386,755,wk inc covid hosp,2025-01-25,2025-01-11,2025-01-08,"January 25, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Hawaii,0,0.08147004766137854,0.43014298669782813,1.4294424585929808,1.13641347432142,6,19.9390784385447,0.08,0.43,1.43,1,6,20,wk inc covid hosp,2025-01-11,2025-01-11,2025-01-08,"January 11, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
Hawaii,1,0,0.5248632714158228,1.8531993676898098,0,7.3212390434886,25.85,0,0.52,1.85,0,7,26,wk inc covid hosp,2025-01-18,2025-01-11,2025-01-08,"January 18, 2025","January 08, 2025","January 11, 2025",CovidHub-ensemble
