target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-03-14,124.03934,0.6,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,127.82177,0.6,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,132.0376,0.6,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,120.37335,0.65,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,124.61526,0.65,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,128.01925,0.65,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,134.81963,0.65,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,140.33848,0.65,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,122.65122,0.7,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,128.6962,0.7,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,134.09145,0.7,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,141.46534,0.7,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,148.40049,0.7,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,125.04829,0.75,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,132.07405,0.75,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,140.03606,0.75,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,150.07627,0.75,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,158.11695,0.75,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,127.88714,0.8,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,136.4636,0.8,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,147.53404,0.8,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,158.40321,0.8,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,166.55226,0.8,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,131.55983,0.85,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,141.19799,0.85,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,156.05031,0.85,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,169.45054,0.85,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,181.99783,0.85,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,135.86636,0.9,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,148.67066,0.9,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,166.6627,0.9,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,184.32187,0.9,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,204.0449,0.9,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,142.68593,0.95,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,159.29061,0.95,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,185.21094,0.95,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,206.16771,0.95,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,229.17923,0.95,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,149.49692,0.975,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,169.71932,0.975,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,198.58963,0.975,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,222.77489,0.975,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,253.83566,0.975,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,156.3389,0.99,-1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-07,184.12174,0.99,0,quantile,2026-03-07,01,wk inc covid hosp
2026-03-14,217.98423,0.99,1,quantile,2026-03-07,01,wk inc covid hosp
2026-03-21,244.60975,0.99,2,quantile,2026-03-07,01,wk inc covid hosp
2026-03-28,282.9687,0.99,3,quantile,2026-03-07,01,wk inc covid hosp
2026-02-28,2.6717988,0.01,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,2.0451403,0.01,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,1.3818996,0.01,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,1.3457182,0.01,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,1.0309882,0.01,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,3.3049036,0.025,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,2.5754085,0.025,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,1.9917478,0.025,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,2.1664149,0.025,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,1.7299601,0.025,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,3.8395582,0.05,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,3.1353444,0.05,0,quantile,2026-03-07,02,wk inc covid hosp
2026-03-14,2.7737943,0.05,1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-21,2.7943625,0.05,2,quantile,2026-03-07,02,wk inc covid hosp
2026-03-28,2.3758883,0.05,3,quantile,2026-03-07,02,wk inc covid hosp
2026-02-28,4.5893318,0.1,-1,quantile,2026-03-07,02,wk inc covid hosp
2026-03-07,3.9419559,0.1,0,quantile,2026-03-07,02,wk inc covid hosp
