location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Alabama,AL,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,53,71,83,96,125,53,71,83,96,125,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Alabama,AL,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,37,62,82,108,172,37,62,82,108,172,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Alabama,AL,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,25,54,81,121,236,25,54,81,121,236,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Alaska,AK,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,3,5,7,8,13,3,5,7,8,13,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Alaska,AK,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,2,4,7,11,23,2,4,7,11,23,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Alaska,AK,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,1,3,7,13,39,1,3,7,13,39,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Arizona,AZ,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,643,745,805,871,1002,643,745,805,871,1002,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Arizona,AZ,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,542,704,813,935,1190,542,704,813,935,1190,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Arizona,AZ,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,449,651,792,963,1337,449,651,792,963,1337,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Arkansas,AR,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,26,39,49,60,85,26,39,49,60,85,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Arkansas,AR,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,15,32,48,69,127,15,32,48,69,127,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Arkansas,AR,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,9,26,45,76,178,9,26,45,76,178,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
California,CA,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,477,598,673,757,929,477,598,673,757,929,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
California,CA,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,365,547,679,838,1206,365,547,679,838,1206,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
California,CA,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,276,496,676,912,1540,276,496,676,912,1540,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Colorado,CO,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,106,129,144,160,193,106,129,144,160,193,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Colorado,CO,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,81,115,141,170,237,81,115,141,170,237,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Colorado,CO,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,61,102,136,178,282,61,102,136,178,282,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Connecticut,CT,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,54,71,83,96,124,54,71,83,96,124,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Connecticut,CT,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,44,73,96,125,196,44,73,96,125,196,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Connecticut,CT,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,36,74,110,161,304,36,74,110,161,304,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Delaware,DE,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,18,23,26,29,35,18,23,26,29,35,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Delaware,DE,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,14,21,26,32,46,14,21,26,32,46,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Delaware,DE,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,11,19,25,34,55,11,19,25,34,55,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
District of Columbia,DC,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,9,14,19,24,36,9,14,19,24,36,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
District of Columbia,DC,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,5,12,19,29,60,5,12,19,29,60,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
District of Columbia,DC,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,2,10,19,35,97,2,10,19,35,97,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Florida,FL,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,116,180,224,278,402,116,180,224,278,402,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Florida,FL,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,60,136,202,300,571,60,136,202,300,571,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Florida,FL,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,31,100,182,318,798,31,100,182,318,798,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Georgia,GA,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,42,68,86,109,161,42,68,86,109,161,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Georgia,GA,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,24,57,89,135,274,24,57,89,135,274,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Georgia,GA,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,13,47,90,164,432,13,47,90,164,432,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Hawaii,HI,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,6,10,13,17,27,6,10,13,17,27,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Hawaii,HI,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,3,8,14,22,49,3,8,14,22,49,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Hawaii,HI,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,1,7,14,28,86,1,7,14,28,86,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Idaho,ID,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,8,12,16,21,31,8,12,16,21,31,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Idaho,ID,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,4,10,15,24,51,4,10,15,24,51,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Idaho,ID,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,2,7,15,28,80,2,7,15,28,80,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Illinois,IL,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,208,249,275,305,363,208,249,275,305,363,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Illinois,IL,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,170,239,287,344,469,170,239,287,344,469,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Illinois,IL,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,139,225,294,379,588,139,225,294,379,588,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Indiana,IN,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,116,141,157,175,210,116,141,157,175,210,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Indiana,IN,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,88,125,153,185,257,88,125,153,185,257,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Indiana,IN,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,66,111,147,192,307,66,111,147,192,307,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Iowa,IA,0,2024-12-07,2024-12-07,CEPH-Rtrend_covid,34,45,51,59,75,34,45,51,59,75,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Iowa,IA,1,2024-12-07,2024-12-14,CEPH-Rtrend_covid,25,41,53,67,102,25,41,53,67,102,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
Iowa,IA,2,2024-12-07,2024-12-21,CEPH-Rtrend_covid,18,37,53,76,138,18,37,53,76,138,CEPH Lab at Indiana University,2024-12-04,Rtrend COVID
