location_name,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Alabama,2.596282638734639,2.596282638734639,2.596282638734639,127.300540900041,127.300540900041,127.300540900041,2.6,2.6,2.6,127,127,127,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.8048903677227557,2.8048903677227557,2.8048903677227557,137.528963776627,137.528963776627,137.528963776627,2.8,2.8,2.8,138,138,138,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.9738499170000727,2.9738499170000727,2.9738499170000727,145.81336305286,145.81336305286,145.81336305286,2.97,2.97,2.97,146,146,146,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,3.372093853281082,3.372093853281082,3.372093853281082,165.34,165.34,165.34,3.37,3.37,3.37,165,165,165,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.6526370104330145,0.6526370104330145,0.6526370104330145,32,32,32,0.65,0.65,0.65,32,32,32,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.7484930713403635,0.7484930713403635,0.7484930713403635,36.7,36.7,36.7,0.75,0.75,0.75,37,37,37,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.8361911696172999,0.8361911696172999,0.8361911696172999,41,41,41,0.84,0.84,0.84,41,41,41,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.0061487244175633,1.0061487244175633,1.0061487244175633,49.3333333333333,49.3333333333333,49.3333333333333,1.01,1.01,1.01,49,49,49,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.1965011857938606,1.1965011857938606,1.1965011857938606,58.6666666666667,58.6666666666667,58.6666666666667,1.2,1.2,1.2,59,59,59,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.3460638340180924,1.3460638340180924,1.3460638340180924,66,66,66,1.35,1.35,1.35,66,66,66,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.481753635044103,1.481753635044103,1.481753635044103,72.6531219704372,72.6531219704372,72.6531219704372,1.48,1.48,1.48,73,73,73,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.499584144206215,1.499584144206215,1.499584144206215,73.5273848210975,73.5273848210975,73.5273848210975,1.5,1.5,1.5,74,74,74,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.5173719117540576,1.5173719117540576,1.5173719117540576,74.3995519713382,74.3995519713382,74.3995519713382,1.52,1.52,1.52,74,74,74,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.5339596433879223,1.5339596433879223,1.5339596433879223,75.2128791406501,75.2128791406501,75.2128791406501,1.53,1.53,1.53,75,75,75,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.6358407718268044,1.6358407718268044,1.6358407718268044,80.2082993480961,80.2082993480961,80.2082993480961,1.64,1.64,1.64,80,80,80,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.6896448962238095,1.6896448962238095,1.6896448962238095,82.8464151049114,82.8464151049114,82.8464151049114,1.69,1.69,1.69,83,83,83,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.7743568721147582,1.7743568721147582,1.7743568721147582,87,87,87,1.77,1.77,1.77,87,87,87,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.9311269045754689,1.9311269045754689,1.9311269045754689,94.6867247161087,94.6867247161087,94.6867247161087,1.93,1.93,1.93,95,95,95,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.973163103701235,1.973163103701235,1.973163103701235,96.7478373262134,96.7478373262134,96.7478373262134,1.97,1.97,1.97,97,97,97,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.0802804707552336,2.0802804707552336,2.0802804707552336,102,102,102,2.08,2.08,2.08,102,102,102,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.2026499102114236,2.2026499102114236,2.2026499102114236,108,108,108,2.2,2.2,2.2,108,108,108,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.3454142562436457,2.3454142562436457,2.3454142562436457,115,115,115,2.35,2.35,2.35,115,115,115,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,2.8960767337965017,2.8960767337965017,2.8960767337965017,142,142,142,2.9,2.9,2.9,142,142,142,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,3.127219008324854,3.127219008324854,3.127219008324854,153.333333333333,153.333333333333,153.333333333333,3.13,3.13,3.13,153,153,153,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,3.4671341179253896,3.4671341179253896,3.4671341179253896,170,170,170,3.47,3.47,3.47,170,170,170,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,3.7394061207154126,3.7394061207154126,3.7394061207154126,183.35,183.35,183.35,3.74,3.74,3.74,183,183,183,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,4.065928574997681,4.065928574997681,4.065928574997681,199.36,199.36,199.36,4.07,4.07,4.07,199,199,199,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.40789813152063403,0.40789813152063403,0.40789813152063403,20,20,20,0.41,0.41,0.41,20,20,20,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.6234722940292892,0.6234722940292892,0.6234722940292892,30.57,30.57,30.57,0.62,0.62,0.62,31,31,31,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,0.8491079437821192,0.8491079437821192,0.8491079437821192,41.6333333333333,41.6333333333333,41.6333333333333,0.85,0.85,0.85,42,42,42,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.0730242063597948,1.0730242063597948,1.0730242063597948,52.6123619326025,52.6123619326025,52.6123619326025,1.07,1.07,1.07,53,53,53,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alabama,1.2849215068400826,1.2849215068400826,1.2849215068400826,63.0020785851569,63.0020785851569,63.0020785851569,1.28,1.28,1.28,63,63,63,wk inc covid hosp,2024-12-21,2024-12-07,2024-12-04,"December 21, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
