location_name,abbreviation,horizon,forecast_date,target_end_date,model,quantile_0.025,quantile_0.25,quantile_0.5,quantile_0.75,quantile_0.975,quantile_0.025_rounded,quantile_0.25_rounded,quantile_0.5_rounded,quantile_0.75_rounded,quantile_0.975_rounded,forecast_team,forecast_due_date,model_full_name
Alabama,AL,0,2024-11-30,2024-11-30,CEPH-Rtrend_covid,55,72,83,96,122,55,72,83,96,122,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alabama,AL,1,2024-11-30,2024-12-07,CEPH-Rtrend_covid,40,65,83,107,164,40,65,83,107,164,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alabama,AL,2,2024-11-30,2024-12-14,CEPH-Rtrend_covid,30,59,86,123,229,30,59,86,123,229,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alaska,AK,0,2024-11-30,2024-11-30,CEPH-Rtrend_covid,6,8,9,11,14,6,8,9,11,14,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alaska,AK,1,2024-11-30,2024-12-07,CEPH-Rtrend_covid,4,7,9,12,20,4,7,9,12,20,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Alaska,AK,2,2024-11-30,2024-12-14,CEPH-Rtrend_covid,3,6,9,14,28,3,6,9,14,28,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Arizona,AZ,0,2024-11-30,2024-11-30,CEPH-Rtrend_covid,626,720,775,835,950,626,720,775,835,950,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Arizona,AZ,1,2024-11-30,2024-12-07,CEPH-Rtrend_covid,554,705,804,919,1149,554,705,804,919,1149,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Arizona,AZ,2,2024-11-30,2024-12-14,CEPH-Rtrend_covid,471,667,800,964,1312,471,667,800,964,1312,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Arkansas,AR,0,2024-11-30,2024-11-30,CEPH-Rtrend_covid,28,43,53,65,92,28,43,53,65,92,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Arkansas,AR,1,2024-11-30,2024-12-07,CEPH-Rtrend_covid,17,36,54,77,141,17,36,54,77,141,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
Arkansas,AR,2,2024-11-30,2024-12-14,CEPH-Rtrend_covid,10,31,53,88,202,10,31,53,88,202,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
California,CA,0,2024-11-30,2024-11-30,CEPH-Rtrend_covid,459,575,652,735,907,459,575,652,735,907,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
California,CA,1,2024-11-30,2024-12-07,CEPH-Rtrend_covid,349,529,662,822,1199,349,529,662,822,1199,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
California,CA,2,2024-11-30,2024-12-14,CEPH-Rtrend_covid,260,481,663,907,1551,260,481,663,907,1551,CEPH Lab at Indiana University,2024-11-27,Rtrend COVID
